`term_id`,`resource_type_id`
136,RE001
137,RE002
138,RE003
139,RE004
140,RE005
141,RE006
142,RE007
143,RE008
144,RE009
145,RE010
146,RE011
147,RE012
148,RE013
149,RE014
150,RE015
151,RE016
152,RE017
153,RE019
154,RE020
155,RE021
156,RE022
157,RE023
158,RE024
160,RE025
161,RE026
162,RE018
