`mesh_concept_uid`,`mesh_term_id`
M0353609,1
M0353609,2
M0000001,3
M0353609,4
M0353609,5
M0353609,6
M0352201,7
M0352200,8
M0000002,9
M0352199,9
M0000002,10
M0000003,11
M0000003,12
M0000003,13
M0000003,14
M0000005,15
M0000005,16
M0000006,17
M0000006,18
M0000006,19
M0000006,20
M0000007,21
M0000007,22
M0000007,23
M0000007,24
M0000008,25
M0000008,26
M0000008,27
M0000008,28
M0351760,29
M0351760,30
M0000009,31
M0000009,32
M0000009,33
M0000009,34
M0000010,35
M0000010,36
M0000010,37
M0000010,38
M0000010,39
M0000010,40
M0000010,41
M0000010,42
M0000010,43
M0000010,44
M0000010,45
M0000010,46
M0000010,47
M0000010,48
M0000010,49
M0000010,50
M0000010,51
M0000010,52
M0000010,53
M0000010,54
M0000011,55
M0000011,56
M0000011,57
M0000012,58
M0000012,59
M0000012,60
M0000013,61
M0000013,62
M0000013,63
M0000013,64
M0000013,65
M0000013,66
M0000013,67
M0000013,68
M0000013,69
M0000013,70
M0000013,71
M0000013,72
M0000013,73
M0000013,74
M0000014,75
M0000014,76
M0000014,77
M0000014,78
M0000014,79
M0000014,80
M0000015,81
M0000015,82
M0000016,83
M0000016,84
M0000016,85
M0000016,86
M0000016,87
M0000016,88
M0000017,89
M0000017,90
M0000017,91
M0000017,92
M0000017,93
M0000017,94
M0000017,95
M0000017,96
M0000017,97
M0000017,98
M0000017,99
M0000017,100
M0000017,101
M0000017,102
M0000017,103
M0000017,104
M0000018,105
M0000018,106
M0000018,107
M0000018,108
M0000019,109
M0000020,110
M0000020,111
M0000021,112
M0000021,113
M0000021,114
M0000021,115
M0000021,116
M0000021,117
M0000022,118
M0000022,119
M0000022,120
M0000022,121
M0000022,122
M0000022,123
M0000022,124
M0000023,125
M0000023,126
M0000023,127
M0000023,128
M0000023,129
M0000024,130
M0000024,131
M0000024,132
M0000024,133
M0000024,134
M0000025,135
M0000025,136
M0000025,137
M0000025,138
M0000026,139
M0000026,140
M0000026,141
M0000026,142
M0000026,143
M0000026,144
M0000026,145
M0000026,146
M0000027,147
M0000027,148
M0000027,149
M0000027,150
M0000027,151
M0000027,152
M0000028,153
M0000028,154
M0000028,155
M0000028,156
M0000028,157
M0000028,158
M0000029,159
M0000029,160
M0000029,161
M0000029,162
M0000029,163
M0000029,164
M0000029,165
M0000029,166
M0000030,167
M0000030,168
M0000030,169
M0000030,170
M0000031,171
M0000031,172
M0000031,173
M0000031,174
M0000032,175
M0000032,176
M0000032,177
M0000032,178
M0000032,179
M0000032,180
M0000032,181
M0000032,182
M0000032,183
M0000032,184
M0000032,185
M0000032,186
M0000033,187
M0000033,188
M0000033,189
M0000033,190
M0000034,191
M0000034,192
M0000034,193
M0000034,194
M0000034,195
M0000034,196
M0000034,197
M0000034,198
M0000035,199
M0000035,200
M0000035,201
M0000035,202
M0000036,203
M0000036,204
M0000036,205
M0000036,206
M0000036,207
M0000037,208
M0000037,209
M0000037,210
M0000037,211
M0000038,212
M0000038,213
M0000038,214
M0000038,215
M0000039,216
M0000039,217
M0000039,218
M0000039,219
M0000039,220
M0000040,221
M0000040,222
M0000040,223
M0000040,224
M0000040,225
M0000041,226
M0000041,227
M0000042,228
M0000042,229
M0000043,230
M0000043,231
M0000043,232
M0000043,233
M0000043,234
M0000043,235
M0000043,236
M0000043,237
M0000044,238
M0000044,239
M0000044,240
M0000044,241
M0000044,242
M0000045,243
M0000045,244
M0000045,245
M0000045,246
M0000046,247
M0000047,248
M0000047,249
M0000047,250
M0000047,251
M0000048,252
M0000048,253
M0000048,254
M0000048,255
M0000050,256
M0000050,257
M0000050,258
M0000051,259
M0000051,260
M0000051,261
M0000051,262
M0000052,263
M0000052,264
M0000052,265
M0000052,266
M0000053,267
M0000053,268
M0000053,269
M0000053,270
M0000054,271
M0000054,272
M0000055,273
M0000056,274
M0000057,275
M0000058,276
M0000059,277
M0000059,278
M0000060,279
M0000060,280
M0000060,281
M0000060,282
M0000061,283
M0000061,284
M0000061,285
M0000062,286
M0000063,287
M0000063,288
M0000064,289
M0000065,290
M0000065,291
M0372380,292
M0000067,293
M0000067,294
M0000067,295
M0000067,296
M0000068,297
M0000068,298
M0000068,299
M0000068,300
M0000068,301
M0000068,302
M0000068,303
M0000068,304
M0000068,305
M0000068,306
M0000069,307
M0000069,308
M0000069,309
M0000069,310
M0000069,311
M0000069,312
M0000069,313
M0000069,314
M0000069,315
M0000069,316
M0000069,317
M0000069,318
M0000070,319
M0000070,320
M0000071,321
M0000071,322
M0000071,323
M0000071,324
M0000072,325
M0000073,326
M0000073,327
M0000073,328
M0000073,329
M0000074,330
M0000074,331
M0000075,332
M0000075,333
M0000075,334
M0000075,335
M0000075,336
M0000075,337
M0000075,338
M0000076,339
M0000076,340
M0000077,341
M0000077,342
M0000078,343
M0000078,344
M0000078,345
M0000078,346
M0000079,347
M0000080,348
M0000080,349
M0000081,350
M0000081,351
M0000081,352
M0000081,353
M0000081,354
M0000081,355
M0000081,356
M0000081,357
M0000081,358
M0000081,359
M0000081,360
M0000081,361
M0000081,362
M0000081,363
M0000081,364
M0000081,365
M0000081,366
M0000083,367
M0000083,368
M0000083,369
M0000083,370
M0000084,371
M0000084,372
M0000084,373
M0000084,374
M0000085,375
M0000085,376
M0000085,377
M0000085,378
M0000086,379
M0000086,380
M0000087,381
M0000087,382
M0000087,383
M0000087,384
M0000088,385
M0000088,386
M0000088,387
M0000088,388
M0000089,389
M0000089,390
M0000089,391
M0000089,392
M0000090,393
M0000090,394
M0000090,395
M0000090,396
M0000091,397
M0000091,398
M0000091,399
M0000091,400
M0000092,401
M0000092,402
M0000093,403
M0000094,404
M0000094,405
M0000095,406
M0000096,407
M0000097,408
M0000097,409
M0000098,410
M0000100,411
M0000100,412
M0000101,413
M0000102,414
M0000102,415
M0000102,416
M0000102,417
M0000103,418
M0000103,419
M0000103,420
M0000103,421
M0000103,422
M0000103,423
M0000103,424
M0352360,425
M0352359,426
M0000103,427
M0000104,428
M0000105,429
M0000105,430
M0000105,431
M0372274,432
M0372275,433
M0372276,434
M0372277,435
M0372278,436
M0000106,437
M0000107,438
M0000107,439
M0000107,440
M0000107,441
M0330684,442
M0330684,443
M0000109,444
M0000109,445
M0000110,446
M0000110,447
M0000111,448
M0000111,449
M0000112,450
M0000113,451
M0000114,452
M0000115,453
M0000115,454
M0000115,455
M0000115,456
M0000115,457
M0000115,458
M0000115,459
M0000115,460
M0000115,461
M0000116,462
M0000117,463
M0000118,464
M0000118,465
M0000118,466
M0000119,467
M0000120,468
M0000121,469
M0000123,470
M0000124,471
M0000124,472
M0000124,473
M0000125,474
M0000126,475
M0000126,476
M0000126,477
M0000127,478
M0000128,479
M0000129,480
M0000130,481
M0000131,482
M0000132,483
M0000132,484
M0000133,485
M0000133,486
M0000134,487
M0000135,488
M0000136,489
M0352361,490
M0000137,491
M0000137,492
M0000138,493
M0000138,494
M0000138,495
M0000138,496
M0000139,497
M0000139,498
M0000140,499
M0000140,500
M0000140,501
M0000140,502
M0000140,503
M0000140,504
M0000140,505
M0000140,506
M0000140,507
M0000140,508
M0000141,509
M0000141,510
M0000142,511
M0000143,512
M0000143,513
M0000143,514
M0000143,515
M0000143,516
M0000143,517
M0000144,518
M0000145,519
M0000145,520
M0000145,521
M0000145,522
M0000145,523
M0000145,524
M0000145,525
M0000146,526
M0000146,527
M0000147,528
M0000148,529
M0000149,530
M0000150,531
M0000150,532
M0000151,533
M0000151,534
M0000152,535
M0000152,536
M0000153,537
M0000153,538
M0000153,539
M0000153,540
M0000153,541
M0000153,542
M0000153,543
M0000153,544
M0000153,545
M0000153,546
M0000155,547
M0000155,548
M0000155,549
M0000155,550
M0000155,551
M0000155,552
M0000155,553
M0000155,554
M0000155,555
M0000155,556
M0000155,557
M0000155,558
M0000155,559
M0000155,560
M0000155,561
M0000155,562
M0000155,563
M0000155,564
M0000155,565
M0000155,566
M0000155,567
M0000155,568
M0000155,569
M0000155,570
M0000156,571
M0000156,572
M0000156,573
M0000156,574
M0000157,575
M0000157,576
M0000157,577
M0000157,578
M0000157,579
M0000157,580
M0000157,581
M0000157,582
M0000157,583
M0000157,584
M0000158,585
M0000158,586
M0000158,587
M0000158,588
M0000159,589
M0000159,590
M0000159,591
M0000159,592
M0000159,593
M0000159,594
M0000159,595
M0000159,596
M0000159,597
M0000159,598
M0000159,599
M0000159,600
M0000159,601
M0000160,602
M0000160,603
M0000161,604
M0000161,605
M0000161,606
M0000161,607
M0000163,607
M0000161,608
M0000163,608
M0000161,609
M0000163,609
M0000164,610
M0000165,611
M0000165,612
M0330699,613
M0000167,614
M0049840,615
M0000169,616
M0000169,617
M0000169,618
M0000170,619
M0000171,620
M0000171,621
M0000171,622
M0000171,623
M0000171,624
M0000171,625
M0000171,626
M0000172,627
M0000173,628
M0000174,629
M0000175,630
M0000176,631
M0000177,632
M0000177,633
M0000178,634
M0000179,635
M0000179,636
M0000180,637
M0000180,638
M0000181,639
M0000182,640
M0000182,641
M0000183,642
M0000183,643
M0000184,644
M0000184,645
M0000185,646
M0000186,647
M0000187,648
M0000187,649
M0000187,650
M0000187,651
M0000187,652
M0000187,653
M0000187,654
M0000187,655
M0000188,656
M0000188,657
M0000188,658
M0000188,659
M0000188,660
M0000188,661
M0000188,662
M0000188,663
M0000188,664
M0000189,665
M0000189,666
M0000189,667
M0000189,668
M0000189,669
M0000189,670
M0000189,671
M0000190,672
M0000190,673
M0000190,674
M0000190,675
M0000190,676
M0000190,677
M0000190,678
M0000190,679
M0000190,680
M0000190,681
M0000190,682
M0000190,683
M0000190,684
M0000190,685
M0000190,686
M0000191,687
M0000191,688
M0000191,689
M0000191,690
M0000191,691
M0000191,692
M0000192,693
M0000192,694
M0000192,695
M0000192,696
M0000192,697
M0000192,698
M0000193,699
M0000193,700
M0000193,701
M0000193,702
M0000194,703
M0000194,704
M0000195,705
M0000195,706
M0000195,707
M0000195,708
M0000195,709
M0000195,710
M0000195,711
M0000196,712
M0000196,713
M0000197,714
M0000198,715
M0000198,716
M0000199,717
M0000199,718
M0000199,719
M0000199,720
M0000200,721
M0000200,722
M0000201,723
M0000202,724
M0000203,725
M0000203,726
M0000204,727
M0000205,728
M0000205,729
M0000206,730
M0000206,731
M0000206,732
M0000207,733
M0000207,734
M0000208,735
M0000209,736
M0000209,737
M0000210,738
M0000210,739
M0000210,740
M0000210,741
M0000210,742
M0000210,743
M0000211,744
M0000211,745
M0000211,746
M0000211,747
M0000212,748
M0000212,749
M0000212,750
M0000212,751
M0000212,752
M0000213,753
M0000213,754
M0000214,755
M0000214,756
M0000215,757
M0000216,758
M0000216,759
M0000216,760
M0000217,761
M0000217,762
M0000217,763
M0000216,764
M0000219,765
M0000219,766
M0000219,767
M0000219,768
M0000220,769
M0000221,770
M0000221,771
M0000222,772
M0000222,773
M0000223,774
M0000223,775
M0000224,776
M0000224,777
M0000225,778
M0000225,779
M0000226,780
M0000226,781
M0000226,782
M0000226,783
M0000226,784
M0000227,785
M0000228,786
M0000229,787
M0000230,788
M0000230,789
M0000230,790
M0000230,791
M0000230,792
M0000230,793
M0000230,794
M0000230,795
M0000231,796
M0000231,797
M0000232,798
M0000232,799
M0000232,800
M0000232,801
M0000232,802
M0000232,803
M0000232,804
M0000232,805
M0000232,806
M0000233,807
M0000233,808
M0000233,809
M0000233,810
M0000233,811
M0000233,812
M0000233,813
M0000233,814
M0000233,815
M0000233,816
M0000233,817
M0000234,818
M0000234,819
M0000235,820
M0000235,821
M0000235,822
M0000235,823
M0000235,824
M0000235,825
M0000235,826
M0000235,827
M0000235,828
M0000235,829
M0000235,830
M0000235,831
M0000235,832
M0000235,833
M0000235,834
M0000235,835
M0000235,836
M0000235,837
M0000235,838
M0000236,839
M0000236,840
M0000237,841
M0000237,842
M0000237,843
M0000237,844
M0000237,845
M0000237,846
M0000238,847
M0000239,848
M0000239,849
M0000239,850
M0000239,851
M0000239,852
M0000239,853
M0000240,854
M0000240,855
M0004688,856
M0004688,857
M0004688,858
M0004688,859
M0004688,860
M0004688,861
M0004688,862
M0004688,863
M0000241,864
M0000241,865
M0000241,866
M0000241,867
M0000241,868
M0000241,869
M0000241,870
M0000241,871
M0000241,872
M0000241,873
M0000241,874
M0000241,875
M0000241,876
M0000241,877
M0333671,878
M0333671,879
M0000243,880
M0000243,881
M0000243,882
M0000243,883
M0000244,884
M0000244,885
M0000245,886
M0000245,887
M0000245,888
M0000245,889
M0000245,890
M0000245,891
M0000245,892
M0000245,893
M0000245,894
M0000245,895
M0000245,896
M0000245,897
M0000245,898
M0000245,899
M0000245,900
M0000245,901
M0000246,902
M0000246,903
M0000246,904
M0000246,905
M0000247,906
M0330707,906
M0000247,907
M0000247,908
M0373511,909
M0373511,910
M0373513,911
M0373512,912
M0000247,913
M0330707,913
M0000247,914
M0330707,914
M0000247,915
M0330707,915
M0000247,916
M0330707,916
M0000247,917
M0330707,917
M0000249,918
M0000250,919
M0000250,920
M0000250,921
M0000250,922
M0330709,923
M0330709,924
M0000253,925
M0000253,926
M0000254,927
M0000254,928
M0000254,929
M0000255,930
M0000255,931
M0000256,932
M0000256,933
M0000257,934
M0000257,935
M0000258,936
M0000258,937
M0000258,938
M0000258,939
M0000258,940
M0000258,941
M0000258,942
M0000258,943
M0000258,944
M0000259,945
M0000259,946
M0000259,947
M0000259,948
M0000259,949
M0000259,950
M0000259,951
M0000259,952
M0000260,953
M0000260,954
M0000260,955
M0000260,956
M0000260,957
M0000260,958
M0000260,959
M0000260,960
M0000260,961
M0350817,962
M0000260,963
M0000260,964
M0000261,965
M0000262,966
M0000262,967
M0000262,968
M0000262,969
M0000263,970
M0000263,971
M0000264,972
M0000264,973
M0000264,974
M0000265,975
M0000265,976
M0000265,977
M0000265,978
M0000266,979
M0000266,980
M0000266,981
M0000267,982
M0000267,983
M0000268,984
M0000269,985
M0000270,986
M0000270,987
M0000271,988
M0000271,989
M0000271,990
M0000272,991
M0000272,992
M0000272,993
M0000272,994
M0000272,995
M0000272,996
M0000273,997
M0373514,998
M0373514,999
M0000273,1000
M0000274,1001
M0000275,1002
M0000276,1003
M0000276,1004
M0000277,1005
M0000277,1006
M0000278,1007
M0000278,1008
M0000279,1009
M0000280,1010
M0000280,1011
M0000281,1012
M0000282,1013
M0000282,1014
M0000282,1015
M0000282,1016
M0000283,1017
M0000284,1018
M0000285,1019
M0000286,1020
M0000287,1021
M0419813,1022
M0000289,1023
M0000289,1024
M0000289,1025
M0000289,1026
M0000289,1027
M0000289,1028
M0000289,1029
M0000289,1030
M0000290,1031
M0000290,1032
M0000290,1033
M0000290,1034
M0000290,1035
M0000290,1036
M0000291,1037
M0000291,1038
M0000291,1039
M0000291,1040
M0000292,1041
M0000292,1042
M0000293,1043
M0000294,1044
M0330712,1045
M0000296,1046
M0000296,1047
M0000297,1048
M0000297,1049
M0000298,1050
M0000298,1051
M0000299,1052
M0000299,1053
M0456011,1054
M0456011,1055
M0000300,1056
M0000300,1057
M0456010,1058
M0456010,1059
M0000301,1060
M0000301,1061
M0000302,1062
M0000303,1063
M0000303,1064
M0000303,1065
M0000303,1066
M0000304,1067
M0000304,1068
M0000304,1069
M0000304,1070
M0000305,1071
M0000305,1072
M0000305,1073
M0000305,1074
M0000306,1075
M0000306,1076
M0000306,1077
M0000306,1078
M0000306,1079
M0000306,1080
M0000306,1081
M0000306,1082
M0000306,1083
M0000306,1084
M0000306,1085
M0000306,1086
M0000306,1087
M0000306,1088
M0000307,1089
M0000307,1090
M0000308,1091
M0000308,1092
M0000311,1093
M0000311,1094
M0000312,1095
M0000312,1096
M0000313,1097
M0000313,1098
M0000313,1099
M0000313,1100
M0000313,1101
M0000313,1102
