`mesh_concept_uid`,`mesh_descriptor_uid`
M0005518,D003533
M0005519,D003533
M0005520,D003533
M0005521,D003533
M0005522,D003533
M0005523,D003533
M0005524,D003534
M0005525,D003535
M0005526,D003536
M0005527,D003537
M0005528,D003538
M0005529,D003538
M0005530,D003539
M0005531,D003539
M0005532,D003540
M0005533,D003541
M0005534,D003542
M0005535,D003543
M0005537,D003543
M0005538,D003544
M0005539,D003545
M0005540,D003545
M0005542,D003546
M0005547,D003547
M0005548,D003547
M0005549,D003548
M0005550,D003549
M0005551,D003550
M0005552,D003551
M0005553,D003552
M0005554,D003553
M0005555,D003553
M0005556,D003554
M0005557,D003555
M0005558,D003556
M0005559,D003557
M0005560,D003558
M0005561,D003559
M0005562,D003559
M0005563,D003560
M0005564,D003561
M0005565,D003561
M0005566,D003561
M0005567,D003562
M0005568,D003563
M0005569,D003564
M0005570,D003565
M0005571,D003566
M0005572,D003567
M0005573,D003568
M0005574,D003568
M0005575,D003568
M0005576,D003569
M0005577,D003570
M0005578,D003570
M0005579,D003570
M0005580,D003571
M0005581,D003572
M0005582,D003573
M0005583,D003574
M0005584,D045305
M0005586,D003575
M0005587,D003576
M0005588,D003576
M0005590,D003576
M0005591,D003577
M0005592,D003577
M0005593,D003577
M0005594,D003578
M0005595,D003578
M0005596,D003578
M0005597,D003579
M0005598,D003580
M0005599,D003581
M0005600,D003582
M0005601,D003583
M0005602,D003584
M0005603,D003585
M0005604,D003586
M0005605,D003587
M0005606,D003587
M0005607,D003588
M0005608,D003589
M0005609,D041964
M0005610,D041963
M0005611,D003592
M0005612,D003593
M0005613,D003593
M0005614,D003594
M0005615,D022142
M0005616,D003595
M0005617,D003595
M0005618,D003596
M0005619,D003597
M0005620,D003598
M0005621,D003599
M0005622,D003599
M0005623,D003599
M0005624,D003599
M0005625,D003600
M0005626,D003601
M0005627,D003601
M0005628,D003601
M0005629,D003601
M0005630,D003602
M0005631,D003602
M0005632,D003603
M0005633,D003603
M0005634,D003604
M0005635,D003605
M0005636,D003606
M0005638,D003606
M0005639,D003607
M0005640,D003607
M0005641,D003608
M0005642,D003608
M0005643,D003609
M0005644,D003609
M0005645,D003610
M0005646,D003611
M0005647,D003612
M0005648,D003613
M0005649,D003613
M0005651,D003614
M0005652,D003615
M0005653,D003616
M0005654,D003617
M0005655,D003617
M0005656,D003619
M0005657,D003620
M0005658,D003620
M0005659,D003620
M0005660,D003621
M0005661,D003622
M0005662,D003623
M0005663,D003624
M0005664,D011795
M0005665,D000069216
M0005666,D003625
M0005667,D003625
M0005668,D016247
M0005669,D003625
M0005670,D011795
M0005671,D011795
M0005672,D011795
M0005674,D011795
M0005675,D016247
M0005676,D011795
M0005677,D011795
M0005678,D055984
M0005679,D003626
M0005680,D003627
M0005681,D003628
M0005683,D003630
M0005684,D003630
M0005685,D003631
M0005686,D003632
M0005687,D003633
M0005688,D003634
M0005689,D003635
M0005690,D003636
M0005691,D003637
M0005692,D003638
M0005693,D003638
M0005695,D003638
M0005696,D003639
M0005697,D003640
M0005698,D003641
M0005699,D003642
M0005700,D003642
M0005701,D003643
M0005702,D003643
M0005703,D003643
M0005704,D003643
M0005705,D003644
M0005706,D003644
M0005707,D003645
M0005708,D003646
M0005709,D003647
M0005710,D003647
M0005711,D003648
M0005712,D003649
M0005713,D003650
M0005714,D003651
M0005715,D003652
M0005716,D003653
M0005717,D003654
M0005718,D003655
M0005719,D003656
M0005720,D033301
M0005721,D003657
M0005722,D032921
M0005723,D032921
M0005724,D003658
M0005725,D003658
M0005726,D003659
M0005727,D003660
M0005728,D003661
M0005729,D003661
M0005730,D003661
M0005731,D003661
M0005732,D003661
M0005733,D003662
M0005734,D003663
M0005735,D003664
M0005736,D003665
M0005737,D003666
M0005738,D003667
M0005739,D003668
M0005740,D003669
M0005741,D003669
M0005742,D003669
M0005743,D003670
M0005744,D003671
M0005745,D003671
M0005746,D003672
M0005747,D003673
M0005748,D003674
M0005749,D003675
M0005750,D003676
M0005751,D003676
M0005752,D003676
M0005753,D003677
M0005754,D003678
M0005755,D003679
M0005756,D003680
M0005757,D003681
M0005758,D003682
M0005759,D003683
M0005760,D003684
M0005761,D003684
M0005762,D003685
M0005764,D003685
M0005765,D003687
M0005766,D003687
M0005767,D003688
M0005768,D003688
M0005769,D003689
M0005770,D003690
M0005771,D003691
M0005772,D003692
M0005773,D003692
M0005774,D003693
M0005776,D003695
M0005777,D003695
M0005778,D003695
M0005779,D003695
M0005780,D003695
M0005781,D003695
M0005782,D003695
M0005783,D003695
M0005785,D003696
M0005786,D003697
M0005787,D003697
M0005788,D003698
M0005789,D003698
M0005790,D003699
M0005791,D003699
M0005792,D003700
M0005794,D003701
M0005795,D003702
M0005796,D003703
M0005797,D003704
M0005798,D000544
M0005800,D020774
M0005801,D003707
M0005802,D003707
M0005804,D003708
M0005805,D003708
M0005806,D003709
M0005807,D003710
M0005808,D003710
M0005809,D003710
M0005810,D003710
M0005811,D003710
M0005812,D003710
M0005813,D003710
M0005814,D003710
M0005815,D003710
M0005816,D003710
M0005817,D003710
M0005818,D003710
M0005819,D003710
M0005820,D003710
M0005821,D003710
M0005822,D003710
M0005823,D003710
M0005825,D003711
M0005826,D003711
M0005827,D003712
M0005828,D003713
M0005830,D003714
M0005831,D003715
M0005832,D003716
M0005833,D003717
M0005834,D003718
M0005835,D003718
M0005836,D003719
M0005837,D003720
M0005838,D015502
M0005839,D015502
M0005840,D015502
M0005841,D003722
M0005842,D003723
M0005843,D003724
M0005844,D003725
M0005845,D003725
M0005846,D003726
M0005847,D003727
M0005848,D003727
M0005849,D003728
M0005850,D003729
M0005851,D003730
M0005853,D003730
M0005854,D003731
M0005855,D003731
M0005856,D003732
M0005857,D003733
M0005858,D003733
M0005859,D003734
M0005860,D003735
M0005861,D003736
M0005862,D003736
M0005863,D003736
M0005864,D003737
M0005865,D003738
M0005867,D003739
M0005868,D003739
M0005869,D003740
M0005870,D003741
M0005871,D003742
M0005872,D003742
M0005873,D003743
M0005874,D003743
M0005875,D003744
M0005876,D003745
M0005877,D003746
M0005878,D003747
M0005879,D003748
M0005880,D003749
M0005881,D003750
M0005882,D003751
M0005883,D003752
M0005884,D003753
M0005885,D003754
M0005887,D003755
M0005888,D003756
M0005889,D003757
M0005890,D003758
M0005891,D003758
M0005892,D003758
M0005893,D003759
M0005894,D003760
M0005895,D003761
M0005896,D003762
M0005897,D003763
M0005898,D003764
M0005899,D003765
M0005900,D003766
M0005901,D003766
M0005902,D003766
M0005903,D003766
M0005904,D003767
M0005905,D003768
M0005906,D003769
M0005907,D003770
M0005908,D003771
M0005909,D003772
M0005910,D003773
M0005911,D003774
M0005912,D003775
M0005913,D003775
M0005914,D003775
M0005915,D003776
M0005916,D003777
M0005917,D003778
M0005918,D003779
M0005919,D003780
M0005920,D003781
M0005921,D003781
M0005922,D003782
M0005923,D003784
M0005924,D003784
M0005925,D003785
M0005926,D003786
M0005927,D003786
M0005928,D003786
M0005929,D003787
M0005930,D003788
M0005931,D003789
M0005932,D003790
M0005933,D003790
M0005934,D003790
M0005935,D003791
M0005936,D003792
M0005937,D003793
M0005938,D003793
M0005939,D003794
M0005940,D003794
M0005941,D003795
M0005942,D003796
M0005943,D003797
M0005944,D003798
M0005945,D003799
M0005946,D003800
M0005947,D003801
M000594798,D000066388
M0005948,D003802
M000594800,D065089
M000594877,D000068296
M000594887,D066289
M0005949,D003802
M000594935,D000066388
M000594936,D000066388
M000594937,D000066428
M0005950,D003803
M0005951,D003804
M000595113,D066244
M0005952,D003805
M0005953,D003806
M000595368,D000066448
M000595369,D000066449
M000595370,D000066450
M0005954,D003807
M000595433,D000066473
M000595463,D000066477
M000595471,D000066479
M0005955,D003808
M000595509,D000066491
M000595510,D000066492
M000595512,D000066494
M000595534,D000066498
M000595535,D000066499
M000595544,D000066502
M000595549,D000066505
M000595550,D000066506
M0005956,D003809
M000595633,D000066511
M000595649,D000066530
M000595685,D000066550
M000595694,D000066553
M0005957,D003810
M0005958,D003811
M000595823,D000066608
M0005959,D003811
M000595942,D000066630
M000595981,D000066670
M000595987,D000066673
M0005960,D003812
M0005961,D003813
M0005962,D003814
M000596264,D000066768
M000596291,D000066792
M000596293,D000066792
M000596294,D000066794
M0005963,D003815
M000596366,D003815
M000596392,D002331
M0005964,D003816
M000596409,D000066829
M000596410,D000670
M000596460,D003815
M0005965,D003817
M000596540,D000072218
M000596541,D003815
M000596544,D000066794
M0005966,D003818
M0005967,D003819
M000596765,D000066888
M000596781,D000066891
M0005968,D003820
M000596820,D002523
M000596821,D059451
M000596822,D000066908
M000596863,D000066928
M0005969,D003821
M000596918,D008897
M0005970,D003822
M0005971,D003823
M000597133,D000821
M0005972,D003823
M000597265,D000066949
M0005973,D003824
M000597328,D006806
M000597333,D001107
M000597344,D000066970
M000597380,D000066988
M0005974,D003825
M000597400,D000066989
M0005975,D003826
M000597557,D035843
M000597564,D000067009
M000597565,D000067009
M000597566,D000067010
M000597567,D000067011
M000597568,D000067012
M000597569,D000067013
M0005976,D003827
M000597654,D000058
M000597655,D000067029
M000597658,D000067030
M0005977,D003828
M000597774,D000067071
M000597776,D000067073
M000597777,D000067074
M000597778,D000067074
M000597783,D000069347
M0005978,D003829
M000597800,D000067075
M000597831,D000066988
M000597832,D000067088
M000597833,D063325
M000597834,D014204
M000597879,D000067108
M000597885,D000067128
M000597887,D000067128
M000597888,D000067128
M0005979,D003830
M000597932,D000067148
M0005980,D003830
M0005981,D003831
M000598118,D000067190
M000598119,D000067190
M000598120,D000067030
M000598121,D000067030
M0005982,D003832
M000598204,D000067208
M000598218,D055191
M000598223,D000067012
M000598229,D000066908
M000598251,D027383
M000598273,D000067250
M000598274,D000067251
M0005983,D003833
M000598304,D000067268
M000598305,D000067268
M000598306,D000067268
M000598346,D000067289
M000598347,D000067290
M000598349,D000067290
M000598358,D000067292
M000598359,D033183
M0005984,D003833
M0005985,D003834
M000598546,D030016
M000598561,D001362
M000598562,D002755
M000598563,D000067329
M0005986,D003835
M0005987,D003836
M000598783,D000067940
M000598785,D000067348
M0005988,D003837
M000598808,D026741
M0005989,D003838
M000598918,D000066608
M000598990,D028022
M000598993,D000067012
M0005990,D003839
M000599042,D000069474
M000599080,D000067368
M000599083,D000067369
M000599150,D000067390
M000599153,D054043
M000599156,D000067393
M000599159,D000067453
M000599161,D000532
M000599163,D000067397
M000599167,D000067398
M000599182,D000067399
M000599184,D000067401
M000599187,D055991
M000599195,D054542
M000599196,D054542
M000599198,D054542
M0005992,D003840
M000599200,D000067404
M000599201,D018034
M000599241,D000067408
M0005994,D003840
M000599441,D000067248
M0005995,D003840
M000599512,D000532
M000599513,D000067268
M000599514,D000067268
M000599527,D012524
M000599536,D003020
M000599541,D000067448
M000599545,D000067449
M000599547,D000067450
M000599552,D015203
M000599553,D000067398
M000599565,D000067454
M000599566,D000067455
M0005996,D003840
M000599603,D003615
M000599604,D003615
M000599605,D003615
M000599606,D003615
M000599607,D003615
M000599608,D003615
M000599609,D003615
M000599610,D003615
M0005997,D003841
M000599707,D000067470
M000599717,D000067470
M000599719,D000067470
M000599741,D000067489
M000599742,D000067489
M000599743,D000067489
M000599744,D000067489
M000599745,D000067489
M000599755,D010043
M000599758,D019300
M000599759,D019300
M000599765,D000067490
M000599768,D019300
M000599769,D017749
M000599770,D000067491
M000599771,D014342
M000599772,D000067492
M000599773,D000067493
M000599774,D000067493
M0005998,D003842
M000599800,D013597
M000599802,D017751
M000599803,D012308
M000599807,D006300
M000599808,D019300
M000599809,D019300
M000599810,D019300
M000599811,D000067494
M000599813,D000066553
M000599815,D000067495
M000599816,D000067495
M000599827,D019300
M000599831,D004348
M000599848,D000067496
M000599849,D026443
M000599864,D019984
M000599866,D000067498
M0005999,D003843
M000599948,D000067508
M000599949,D055317
M000599991,D000067528
M000599994,D000067531
M0006000,D003843
M0006001,D003844
M000600114,D000067548
M000600118,D005547
M000600119,D005547
M000600120,D000067549
M000600122,D000067551
M000600124,D000067551
M000600126,D000067552
M000600141,D006944
M000600150,D012036
M000600153,D000067556
M000600168,D000067558
M000600172,D000067559
M000600188,D000067561
M000600189,D000067562
M000600190,D000067561
M000600191,D000067561
M000600192,D000067561
M000600193,D000067563
M000600194,D013597
M000600195,D013597
M000600196,D002522
M000600198,D000066673
M000600199,D000067636
M0006002,D003845
M000600200,D000067565
M000600201,D006990
M000600202,D000067448
M000600207,D000067568
M000600210,D000067570
M000600211,D000067571
M000600212,D000067571
M000600213,D000067571
M000600214,D000067571
M000600215,D000067571
M000600228,D000072480
M000600229,D000072506
M000600230,D000067572
M000600243,D000067573
M000600249,D000067575
M000600250,D000068104
M000600251,D007229
M0006003,D003846
M000600385,D000067596
M0006004,D003847
M000600437,D003020
M000600438,D003020
M000600439,D003020
M000600461,D020000
M000600463,D000067494
M000600476,D000067616
M000600480,D000067617
M000600481,D000067617
M000600482,D000067617
M000600496,D000067558
M0006005,D003848
M000600507,D000067571
M000600508,D000067571
M000600509,D000067571
M000600531,D066291
M000600545,D000067656
M000600546,D000067657
M000600549,D015897
M000600556,D000067552
M000600566,D000067348
M000600596,D000068636
M000600597,D000068636
M0006006,D003849
M000600677,D000067697
M000600684,D000067699
M0006007,D003850
M000600716,D016139
M000600717,D016139
M000600718,D016139
M000600741,D000067716
M000600756,D000067719
M000600758,D000067736
M0006008,D003850
M000600816,D000067756
M000600817,D000067757
M000600818,D000067758
M000600821,D000067759
M0006009,D003850
M000600947,D000067776
M000600990,D000069450
M0006010,D003850
M000601016,D000067796
M000601067,D000067816
M0006011,D003850
M000601122,D000067836
M000601132,D000067856
M0006012,D003851
M000601217,D000067878
M000601218,D000067879
M000601249,D034201
M000601285,D000067896
M000601286,D000067896
M0006013,D003851
M000601336,D008960
M000601357,D010360
M000601358,D010360
M000601365,D000067448
M000601368,D017749
M000601370,D000067917
M0006014,D003851
M000601422,D000067565
M000601456,D000067956
M000601473,D011386
M000601491,D000067996
M0006015,D003852
M000601524,D000068016
M000601529,D036226
M000601530,D000067568
M000601531,D000067568
M000601532,D008192
M000601534,D000068036
M000601535,D049648
M000601546,D000068037
M0006016,D003853
M000601627,D000068079
M000601659,D002669
M000601663,D000068098
M000601664,D000068098
M000601667,D000068099
M000601674,D000068105
M000601679,D027845
M000601681,D000068242
M000601685,D030601
M000601688,D031319
M000601689,D029606
M000601690,D004070
M000601691,D004070
M000601693,D027742
M000601696,D001068
M000601697,D061046
M000601698,D019965
M0006017,D003854
M000601704,D000069437
M000601705,D000069436
M000601712,D012893
M000601713,D000068116
M000601719,D020900
M000601725,D028001
M000601726,D038143
M0006018,D003855
M000601811,D029606
M000601812,D027742
M0006019,D003856
M000601936,D000068156
M0006020,D003857
M000602016,D001365
M000602020,D000068180
M000602022,D000068180
M000602024,D010384
M000602025,D010384
M000602028,D002968
M000602031,D000068181
M000602078,D000068196
M000602080,D000066477
M000602082,D000066511
M000602084,D000066502
M000602085,D000066502
M000602087,D000066499
M0006021,D003858
M000602137,D002620
M000602138,D001365
M000602139,D010384
M000602152,D000068220
M000602153,D000068220
M000602157,D000068236
M000602158,D000068237
M000602180,D000068220
M000602181,D000068240
M000602182,D000068240
M000602183,D000068241
M000602186,D000068242
M000602187,D000068242
M0006022,D003858
M000602236,D044468
M0006023,D003859
M000602309,D002162
M000602311,D000068276
M000602313,D000068276
M000602344,D000068296
M000602345,D000068297
M000602351,D000068297
M000602353,D000068297
M000602354,D000068298
M000602359,D000068299
M000602377,D009146
M000602379,D009146
M000602381,D009146
M000602383,D009146
M000602387,D000068316
M000602388,D000068336
M000602392,D000068337
M000602393,D014857
M000602394,D000068338
M0006024,D003861
M000602468,D009426
M000602470,D009426
M0006025,D003861
M000602570,D000068356
M000602575,D000068357
M000602577,D031324
M000602578,D010943
M000602579,D034181
M000602580,D034181
M0006026,D003861
M000602637,D000068376
M000602638,D000068378
M0006027,D003862
M000602719,D009948
M000602720,D000068397
M000602771,D032407
M0006028,D003863
M000602817,D000068436
M000602820,D015746
M000602856,D000068456
M0006029,D003863
M000602903,D000068476
M000602983,D000068516
M0006030,D003864
M000603052,D000068536
M000603068,D000068543
M000603069,D000068543
M000603070,D000068543
M0006031,D003865
M000603113,D000068558
M000603114,D004895
M000603115,D004895
M000603116,D005052
M000603117,D031661
M000603118,D031661
M000603119,D027923
M000603152,D010943
M000603153,D010943
M000603154,D010943
M000603155,D000068577
M0006032,D003866
M000603222,D000068597
M000603226,D000068598
M000603237,D000068599
M000603239,D000068600
M000603244,D000068601
M000603262,D000068616
M000603266,D000068616
M000603267,D000068617
M000603271,D000068618
M000603278,D031346
M0006033,D003866
M000603318,D000068196
M000603319,D000068297
M000603320,D000068636
M000603329,D000068636
M000603330,D000068636
M000603332,D000068636
M000603335,D000068299
M000603386,D000068299
M000603388,D000068296
M000603394,D000068438
M000603395,D000068438
M000603397,D000068438
M000603399,D000068438
M0006034,D003866
M000603401,D000068599
M000603402,D000068338
M000603403,D000068298
M000603406,D000068437
M000603407,D000068558
M000603479,D000068656
M0006035,D003866
M000603516,D000068577
M000603517,D000068676
M000603518,D031985
M000603519,D000068296
M000603520,D031312
M000603521,D032061
M000603524,D000068678
M000603526,D000068438
M000603537,D000068696
M000603576,D009040
M000603577,D009040
M0006036,D003866
M000603606,D000068717
M000603608,D000068717
M000603610,D000069283
M000603631,D000068737
M000603632,D000068737
M000603637,D032902
M000603638,D000068756
M000603639,D032902
M000603640,D000068757
M000603642,D000068758
M000603643,D030012
M000603644,D000068758
M000603645,D006035
M000603647,D032108
M000603648,D032305
M000603649,D000068760
M000603650,D013662
M000603651,D013662
M0006037,D003866
M000603736,D031584
M000603756,D031281
M000603757,D000068776
M000603796,D000068796
M000603797,D000068797
M000603798,D000068798
M000603799,D000068799
M0006038,D003867
M000603800,D000068798
M000603801,D052859
M000603803,D000068799
M000603809,D000068801
M000603810,D000068801
M000603858,D027582
M000603859,D032304
M000603860,D000068819
M000603887,D000068837
M000603888,D000068837
M000603889,D000068837
M000603891,D000068298
M0006039,D003868
M000603940,D027842
M000603941,D000068856
M000603943,D000068856
M000603954,D027842
M000603955,D027842
M000603956,D064699
M000603957,D027842
M000603958,D000068796
M000603960,D000068857
M000603961,D031286
M000603962,D031342
M000603963,D031342
M000603964,D031342
M000603965,D000068858
M0006040,D003868
M000604018,D000068857
M000604025,D061268
M000604028,D000068881
M000604029,D000068881
M000604030,D000068882
M000604044,D000068884
M000604077,D000068896
M000604081,D000068897
M000604085,D000068898
M000604087,D000068899
M000604092,D000068897
M000604093,D008687
M0006041,D003868
M000604111,D027641
M000604179,D000068916
M000604191,D000068916
M0006042,D003868
M000604247,D000068936
M000604248,D000068937
M000604276,D000068957
M000604277,D000068958
M000604282,D000068959
M0006043,D003869
M000604307,D000068977
M0006044,D003870
M000604402,D000068998
M0006045,D003871
M000604584,D000069056
M000604585,D000069056
M000604589,D000069059
M0006046,D003872
M000604636,D000069076
M000604637,D000069077
M000604638,D000069078
M000604639,D000069079
M000604658,D000069098
M0006047,D003873
M0006048,D003874
M0006049,D003875
M000604917,D000069177
M000604919,D000069178
M000604969,D000069196
M000604970,D000069196
M0006050,D003876
M0006051,D003876
M000605185,D000068316
M000605186,D000068316
M000605188,D000068316
M000605189,D000069236
M000605190,D010496
M000605192,D000069237
M0006052,D003877
M000605267,D000069258
M000605269,D000069259
M000605276,D000069261
M000605281,D017397
M000605286,D000069262
M000605287,D009473
M000605288,D009473
M000605289,D009473
M000605290,D000069263
M000605291,D018285
M000605292,D018281
M000605293,D018281
M0006053,D003877
M000605308,D011014
M000605313,D000069278
M000605316,D000069279
M000605317,D000069280
M000605318,D000069280
M000605320,D000069280
M000605321,D000069281
M000605322,D000069281
M000605323,D000069281
M000605325,D000069281
M000605328,D000069282
M000605330,D000069284
M000605354,D000069289
M000605359,D000069290
M000605362,D000069292
M000605363,D000069293
M000605364,D000069294
M000605365,D000069295
M000605371,D000069296
M000605396,D000069316
M0006054,D003878
M000605401,D000069284
M000605402,D000069319
M000605406,D000069320
M000605407,D000069321
M000605408,D000069322
M000605417,D000069320
M000605419,D017585
M000605476,D000069336
M000605477,D000069337
M000605478,D000069338
M000605480,D000069338
M000605483,D000069339
M000605486,D000069340
M000605491,D000069340
M000605492,D000069341
M000605493,D011322
M000605494,D014116
M000605495,D000071696
M000605497,D000069342
M000605498,D000069342
M0006055,D003878
M000605500,D000069342
M000605501,D000069342
M000605503,D000069342
M000605508,D000069343
M000605509,D016348
M000605514,D000069453
M000605515,D000069453
M000605525,D000069350
M000605536,D000069237
M000605543,D017131
M000605544,D017131
M000605545,D000069356
M000605577,D000069376
M000605582,D000069336
M000605583,D002560
M000605584,D002560
M000605596,D000069377
M000605597,D011795
M000605598,D003625
M0006056,D003878
M000605664,D000069396
M000605676,D000069278
M000605677,D000069278
M000605678,D000069278
M000605684,D000069416
M0006057,D003879
M000605714,D000069259
M000605718,D015361
M000605719,D015361
M000605735,D007765
M000605736,D007765
M000605737,D007765
M000605740,D002406
M000605744,D000069451
M000605751,D000069452
M000605752,D000069452
M0006058,D003880
M000605818,D000069456
M000605820,D000069458
M000605824,D000069278
M000605825,D003405
M000605827,D000069463
M000605830,D000069466
M000605831,D000069466
M000605832,D000069466
M000605834,D000069467
M000605853,D000069469
M000605855,D000069471
M000605876,D000069473
M000605878,D000069475
M000605880,D000069281
M000605884,D000069281
M000605885,D000069281
M000605888,D000069480
M0006059,D003881
M000605976,D000068598
M000605977,D012107
M000605978,D000068936
M000605979,D009392
M000605980,D000069337
M000605982,D000069337
M000605983,D000069337
M000605986,D000069497
M000605997,D000069502
M000605999,D000068958
M000606016,D000069516
M000606045,D000069520
M000606058,D000069537
M000606069,D000069547
M000606070,D000069545
M000606071,D000069545
M000606072,D012404
M000606073,D000069592
M000606074,D000069593
M000606076,D000069550
M000606077,D000069590
M000606078,D000069544
M000606079,D000069551
M000606081,D000069553
M000606082,D000069553
M000606083,D000069553
M000606084,D000069553
M000606085,D000069553
M000606086,D000069553
M000606090,D000069555
M000606091,D009629
M000606094,D000069558
M000606098,D060388
M000606099,D060388
M0006061,D003882
M000606116,D020492
M000606118,D000069576
M000606125,D000069577
M000606130,D001523
M000606132,D000069578
M000606133,D000069578
M000606136,D000069581
M000606137,D000069580
M000606142,D000069584
M000606149,D000069586
M000606152,D000069756
M000606159,D000069597
M000606168,D057187
M000606170,D000069599
M000606171,D000069600
M000606172,D000069601
M000606174,D000069602
M0006062,D003883
M000606218,D014921
M0006063,D003883
M0006064,D003883
M000606427,D012371
M000606466,D006024
M000606473,D000069549
M000606496,D009040
M000606499,D000068616
M0006065,D003884
M000606500,D000068616
M000606502,D014947
M000606594,D001170
M000606595,D007765
M0006066,D003885
M000606603,D007765
M000606623,D009301
M000606634,D020678
M000606635,D020678
M000606652,D000069584
M000606680,D000069636
M000606683,D000069320
M0006067,D003885
M000606768,D029744
M000606780,D000068357
M000606786,D066276
M000606794,D006980
M0006068,D003886
M000606804,D020646
M000606810,D065227
M000606811,D065726
M000606813,D012907
M000606814,D012907
M000606815,D002977
M000606816,D002977
M000606817,D002977
M000606818,D011817
M000606819,D000068817
M000606820,D006922
M000606822,D009726
M0006069,D003887
M000606903,D066277
M000606905,D004388
M000606908,D013003
M0006070,D003888
M0006071,D003888
M000607160,D019152
M000607175,D009040
M000607197,D011307
M0006072,D003889
M0006073,D003890
M000607318,D000069756
M000607323,D000069584
M0006074,D003891
M0006075,D003891
M0006076,D003892
M0006077,D003893
M000607750,D000069796
M000607751,D000069797
M000607759,D000069816
M000607903,D000069836
M000608079,D000069856
M0006081,D003895
M0006082,D003896
M000608253,D000069896
M0006083,D003897
M000608354,D000069916
M000608355,D000069916
M0006084,D003898
M0006085,D003899
M0006086,D064791
M000608689,D028525
M0006087,D003900
M000608715,D032442
M000608716,D027523
M000608758,D000069976
M000608759,D000069977
M000608760,D000069978
M000608761,D000069979
M000608763,D000069980
M000608766,D031317
M000608772,D000069981
M000608774,D029746
M000608775,D029746
M000608776,D000069982
M000608778,D000069983
M000608780,D000069984
M000608781,D000069985
M000608785,D032305
M000608786,D032305
M000608787,D031333
M0006088,D003901
M000608825,D000069996
M000608826,D000069997
M000608827,D000069998
M000608828,D027927
M000608829,D027927
M000608845,D000069999
M000608852,D000070000
M000608853,D000070001
M000608855,D000070002
M000608856,D029903
M000608857,D000070003
M000608869,D000070004
M000608876,D000070016
M000608877,D000070017
M000608878,D000070018
M000608879,D000070019
M0006089,D003902
M000608907,D000070005
M000608912,D000070006
M000608920,D000070036
M000608922,D000070037
M000608936,D000070007
M0006090,D003902
M000609069,D000070057
M000609070,D000070058
M000609073,D000070059
M000609074,D000070060
M0006091,D003902
M000609138,D000070076
M000609142,D000070077
M000609146,D000070079
M000609147,D031658
M0006092,D003903
M000609211,D029001
M000609244,D000070096
M000609249,D000070097
M000609256,D000070098
M000609257,D000070099
M000609259,D031341
M000609260,D000070101
M000609277,D031653
M000609278,D000070116
M0006093,D003903
M000609357,D000070116
M000609379,D000070136
M0006094,D003904
M000609416,D000070137
M000609476,D000070156
M000609477,D031653
M000609496,D010207
M000609497,D029598
M0006095,D003904
M000609533,D000070177
M000609534,D000070177
M000609542,D000070197
M000609546,D032443
M000609547,D036901
M0006096,D003905
M000609600,D029606
M000609601,D031801
M000609645,D000070216
M000609646,D000070216
M000609650,D034403
M0006097,D003905
M000609707,D000070236
M000609710,D029963
M000609729,D000069982
M000609730,D052201
M000609731,D048668
M000609732,D000070256
M000609733,D000070257
M000609740,D000070260
M000609741,D000070260
M000609748,D000070263
M0006098,D003906
M000609883,D000070276
M0006099,D003907
M000609900,D031801
M000609910,D000070297
M000609933,D000070316
M000609939,D000070318
M000609978,D000070337
M000609995,D000069981
M000609996,D052201
M000609997,D031445
M0006100,D003908
M000610082,D048789
M000610083,D014829
M000610084,D000070319
M000610085,D000070319
M000610098,D000070356
M0006101,D003909
M000610160,D000070376
M000610176,D000070377
M000610177,D017589
M000610178,D017589
M000610179,D017589
M000610181,D000070379
M000610182,D000070380
M000610183,D000070381
M0006102,D003909
M000610236,D000070396
M0006103,D003909
M000610308,D000070416
M000610321,D000070436
M000610356,D009989
M000610376,D000070456
M000610377,D062307
M000610378,D000070381
M0006104,D003909
M000610471,D000070396
M000610476,D000070476
M0006105,D003910
M0006106,D003910
M000610645,D000070496
M000610654,D000070497
M0006107,D003910
M000610702,D000070516
M000610793,D000070536
M000610798,D000070538
M000610799,D000072180
M0006108,D003911
M000610821,D000070538
M000610823,D000070539
M000610850,D011187
M000610851,D011187
M000610853,D065708
M000610855,D053418
M000610865,D000070556
M000610866,D000070557
M000610867,D000070557
M000610868,D000070557
M000610869,D000070557
M000610870,D000070557
M000610871,D000070557
M000610896,D053401
M000610897,D053401
M0006109,D003911
M000610906,D003616
M000610908,D014426
M000610909,D014426
M000610910,D014426
M000610912,D008116
M000610913,D008116
M000610914,D008116
M000610915,D000070558
M000610916,D001188
M000610917,D001188
M000610918,D000070592
M000610919,D000070591
M000610922,D000070559
M000610923,D000070559
M000610977,D000070558
M000610980,D000070576
M000610986,D000070579
M000610993,D005413
M000610994,D005413
M0006110,D003911
M000611017,D000070580
M000611026,D000070584
M000611033,D000070585
M000611044,D000070586
M000611047,D000070587
M000611048,D000070590
M000611049,D014703
M000611067,D000070558
M000611068,D000070558
M000611070,D004863
M000611073,D000069416
M000611074,D000070593
M0006111,D003911
M000611101,D020914
M000611135,D003638
M000611137,D003638
M000611179,D001643
M000611180,D029595
M000611181,D029595
M000611191,D000070716
M000611192,D000070736
M0006112,D003911
M000611239,D000070597
M000611244,D000070598
M000611246,D000070606
M000611248,D031446
M000611249,D012785
M000611256,D020196
M000611257,D020196
M000611259,D000070599
M000611260,D000070896
M000611264,D000070600
M000611265,D000070600
M000611266,D000070600
