`mesh_concept_uid`,`mesh_descriptor_uid`
M0000371,D000236
M0000372,D000236
M0000373,D000236
M0000374,D000237
M0000375,D000238
M0000376,D000239
M0000377,D000241
M0000378,D000242
M0000379,D000243
M0000380,D000244
M0000381,D000244
M0000382,D000245
M0000383,D000246
M0000384,D000247
M0000385,D000248
M0000386,D000249
M0000387,D000249
M0000388,D000249
M0000389,D000249
M0000390,D000250
M0000391,D000251
M0000393,D000252
M0000394,D000254
M0000395,D000255
M0000396,D000255
M0000398,D000255
M0000400,D000255
M0000401,D000255
M0000402,D000255
M0000403,D000256
M0000404,D000257
M0000405,D000258
M0000406,D000258
M0000407,D000259
M0000408,D025681
M0000409,D000260
M0000411,D000261
M0000412,D000262
M0000413,D000263
M0000414,D000264
M0000415,D000265
M0000416,D000266
M0000417,D000266
M0000418,D000267
M0000419,D000268
M0000420,D000269
M0000421,D000269
M0000422,D000269
M0000423,D000270
M0000424,D000272
M0000425,D000273
M0000426,D000274
M0000427,D000275
M0000428,D000275
M0000429,D000275
M0000430,D000275
M0000431,D000276
M0000432,D000277
M0000433,D000278
M0000434,D000279
M0000435,D000279
M0000436,D000279
M0000437,D000280
M0000438,D000280
M0000439,D000280
M0000440,D000281
M0000441,D000282
M0000442,D000282
M0000443,D000283
M0000444,D000283
M0000445,D000283
M0000446,D000284
M0000447,D000285
M0000448,D000286
M0000449,D000287
M0000450,D000288
M0000451,D000288
M0000452,D000288
M0000453,D000289
M0000454,D000289
M0000455,D000290
M0000457,D000291
M0000458,D000292
M0000459,D034161
M0000460,D000292
M0000461,D000293
M0000462,D000293
M0000463,D000293
M0000464,D000293
M0000465,D033242
M0000466,D000293
M0000467,D000293
M0000468,D000294
M0000469,D000295
M0000470,D000296
M0000471,D000297
M0000472,D000298
M0000473,D000299
M0000474,D000300
M0000475,D000301
M0000476,D000302
M0000478,D000303
M0000479,D000304
M0000480,D000305
M0000481,D000306
M0000482,D000307
M0000483,D000308
M0000484,D000309
M0000485,D000310
M0000486,D000311
M0000487,D000312
M0000488,D047808
M0000489,D000313
M0000490,D000314
M0000491,D000315
M0000492,D000316
M0000493,D000317
M0000494,D000318
M0000495,D000319
M0000496,D000320
M0000497,D000322
M0000498,D000323
M0000499,D000324
M0000500,D000325
M0000501,D000326
M0000502,D000326
M0000503,D000327
M0000504,D000328
M0000505,D000329
M0000508,D000330
M0000509,D000331
M0000510,D000332
M0000511,D000333
M0000512,D000334
M0000513,D000335
M0000514,D000336
M0000515,D000337
M0000516,D000337
M0000517,D000337
M0000518,D000338
M0000520,D000339
M0000521,D000339
M0000522,D000341
M0000523,D000341
M0000524,D000341
M0000525,D000342
M0000526,D000342
M0000527,D000342
M0000528,D000343
M0000529,D000344
M0000530,D000345
M0000531,D000346
M0000532,D000347
M0000533,D000348
M0000534,D000349
M0000535,D000350
M0000536,D000351
M0000537,D000351
M0000538,D000352
M0000539,D000352
M0000540,D000353
M0000541,D000354
M0000542,D055726
M0000543,D000355
M0000544,D000356
M0000545,D000357
M0000546,D000358
M0000547,D000359
M0000548,D000359
M0000549,D000359
M0000550,D000360
M0000551,D000361
M0000552,D000361
M0000553,D000362
M0000554,D000363
M0000555,D000363
M0000556,D055363
M0000557,D000364
M0000558,D000365
M0000559,D000366
M0000561,D000367
M0000562,D000367
M0000563,D000368
M0000564,D000369
M0000565,D000369
M0000566,D000369
M0000567,D000369
M0000568,D000370
M0000569,D000371
M0000570,D000372
M0000571,D000373
M0000572,D000374
M0000573,D000375
M0000574,D000375
M0000575,D000375
M0000576,D000376
M0000577,D000377
M0000578,D000378
M0000579,D000379
M0000580,D000380
M0000581,D000381
M0000582,D000382
M0000583,D000383
M0000584,D000383
M0000585,D000067936
M0000587,D060054
M0000588,D000385
M0000589,D000385
M0000590,D000386
M0000591,D000387
M0000592,D000388
M0000593,D000389
M0000594,D000389
M0000595,D000389
M0000596,D000390
M0000597,D000391
M0000598,D000392
M0000599,D000393
M0000600,D000393
M0000601,D000395
M0000602,D000396
M0000603,D000397
M0000604,D000398
M0000605,D000399
M0000606,D000400
M0000607,D000401
M0000608,D000401
M0000609,D000401
M0000610,D000402
M0000611,D000402
M0000612,D000403
M0000613,D000404
M0000614,D064794
M0000615,D000405
M0000616,D000406
M0000617,D000407
M0000618,D000408
M0000619,D000409
M0000620,D000410
M0000621,D000410
M0000622,D000411
M0000623,D000412
M0000624,D000413
M0000625,D000413
M0000626,D000415
M0000627,D000416
M0000628,D000417
M0000629,D000418
M0000630,D000419
M0000631,D000420
M0000632,D000420
M0000633,D000420
M0000635,D000420
M0000636,D000420
M0000637,D042402
M0000638,D000421
M0000639,D000422
M0000640,D000423
M0000641,D000425
M0000642,D020915
M0000643,D000426
M0000644,D000426
M0000645,D000426
M0000646,D000426
M0000649,D000427
M0000650,D000428
M0000651,D000429
M0000652,D000430
M0000653,D000431
M0000654,D000431
M0000655,D000432
M0000656,D000432
M0000657,D000433
M0000658,D000434
M0000659,D000435
M0000660,D000436
M0000661,D000437
M0000662,D000437
M0000663,D000438
M0000664,D000439
M0000665,D000440
M0000666,D000441
M0000667,D000441
M0000668,D000442
M0000669,D000443
M0000670,D000443
M0000673,D000444
M0000674,D000444
M0000675,D000444
M0000677,D000445
M0000678,D000446
M0000679,D000447
M0000680,D000448
M0000681,D000449
M0000682,D000449
M0000683,D000449
M0000684,D000449
M0000685,D000449
M0000686,D000450
M0000687,D000451
M0000688,D000452
M0000689,D000452
M0000690,D000453
M0000691,D000454
M0000693,D000455
M0000695,D044424
M0000697,D000458
M0000698,D000459
M0000699,D000460
M0000700,D044443
M0000701,D044444
M0000702,D058131
M0000703,D044446
M0000704,D000461
M0000705,D000462
M0000706,D000463
M0000707,D000464
M0000708,D000465
M0000709,D000466
M0000710,D000466
M0000711,D000468
M0000712,D000469
M0000713,D000470
M0000714,D000471
M0000715,D000472
M0000716,D000473
M0000717,D000474
M0000718,D000475
M0000719,D000475
M0000720,D000476
M0000721,D000477
M0000722,D000478
M0000723,D000479
M0000724,D000480
M0000725,D000481
M0000726,D000482
M0000727,D000483
M0000728,D000485
M0000729,D000486
M0000730,D000486
M0000731,D000486
M0000732,D000487
M0000733,D000488
M0000734,D000488
M0000735,D000488
M0000736,D000489
M0000737,D000489
M0000738,D000489
M0000739,D000489
M0000740,D000490
M0000741,D027782
M0000742,D000490
M0000743,D027781
M0000744,D000492
M0000745,D000493
M0000746,D000494
M0000747,D000495
M0000748,D000496
