`mesh_concept_uid`,`mesh_semantic_type_uid`
M0012775,T047
M0012776,T109
M0012776,T121
M0012777,T009
M0012777,T204
M0012778,T031
M0012779,T061
M0012780,T061
M0012781,T023
M0012782,T046
M0012783,T033
M0012783,T046
M0012784,T047
M0012785,T190
M0012786,T191
M0012787,T191
M0012788,T191
M0012789,T191
M0012790,T191
M0012791,T033
M0012791,T047
M0012792,T047
M0012793,T047
M0012794,T047
M0012795,T191
M0012796,T022
M0012797,T023
M0012799,T023
M0012800,T047
M0012801,T047
M0012802,T047
M0012803,T043
M0012804,T061
M0012805,T043
M0012805,T059
M0012806,T025
M0012807,T025
M0012808,T025
M0012809,T047
M0012810,T005
M0012811,T034
M0012811,T047
M0012812,T047
M0012813,T060
M0012814,T060
M0012815,T024
M0012816,T116
M0012816,T129
M0012817,T191
M0012818,T191
M0012821,T191
M0012822,T191
M0012823,T191
M0012824,T191
M0012825,T033
M0012825,T047
M0012826,T047
M0012827,T047
M0012828,T116
M0012828,T129
M0012829,T110
M0012829,T121
M0012830,T131
M0012831,T116
M0012831,T121
M0012831,T125
M0012832,T109
M0012833,T109
M0012833,T121
M0012833,T131
M0012834,T109
M0012834,T121
M0012834,T131
M0012835,T116
M0012835,T121
M0012835,T123
M0012837,T116
M0012837,T121
M0012837,T123
M0012838,T116
M0012838,T126
M0012839,T116
M0012839,T121
M0012840,T070
M0012841,T116
M0012841,T126
M0012842,T119
M0012843,T116
M0012843,T126
M0012844,T116
M0012844,T126
M0012845,T116
M0012845,T126
M0012846,T116
M0012846,T126
M0012847,T116
M0012847,T126
M0012848,T119
M0012849,T026
M0012850,T116
M0012850,T121
M0012850,T126
M0012851,T116
M0012851,T126
M0012852,T116
M0012852,T126
M0012853,T015
M0012854,T015
M0012855,T015
M0012856,T015
M0012857,T015
M0012858,T015
M0012859,T015
M0012860,T015
M0012861,T015
M0012862,T083
M0012863,T041
M0012864,T054
M0012865,T191
M0012866,T116
M0012866,T129
M0012867,T019
M0012869,T043
M0012870,T116
M0012870,T129
M0012871,T025
M0012872,T019
M0012873,T023
M0012874,T023
M0012875,T047
M0012877,T047
M0012878,T083
M0012879,T047
M0012880,T109
M0012880,T121
M0012881,T109
M0012881,T121
M0012882,T109
M0012882,T121
M0012883,T078
M0012884,T123
M0012884,T196
M0012886,T047
M0012887,T121
M0012887,T197
M0012888,T121
M0012888,T197
M0012889,T121
M0012889,T197
M0012890,T060
M0012891,T060
M0012894,T060
M0012895,T060
M0012896,T081
M0012897,T090
M0012898,T057
M0012899,T083
M0012900,T065
M0012901,T057
M0012902,T093
M0012903,T090
M0012904,T093
M0012905,T090
M0012906,T058
M0012907,T028
M0012908,T047
M0012909,T033
M0012909,T046
M0012910,T047
M0012911,T047
M0012912,T004
M0012913,T004
M0012914,T116
M0012914,T126
M0012915,T116
M0012915,T126
M0012916,T109
M0012917,T115
M0012917,T131
M0012918,T083
M0012919,T083
M0012920,T083
M0012921,T083
M0012922,T083
M0012923,T032
M0012924,T109
M0012925,T109
M0012925,T130
M0012926,T109
M0012926,T130
M0012927,T109
M0012927,T131
M0012928,T109
M0012929,T083
M0012930,T047
M0012931,T047
M0012932,T033
M0012932,T046
M0012933,T055
M0012934,T023
M0012935,T009
M0012936,T009
M0012937,T009
M0012938,T009
M0012939,T047
M0012940,T190
M0012941,T047
M0012942,T047
M0012943,T190
M0012944,T078
M0012945,T047
M0012946,T047
M0012947,T047
M0012948,T109
M0012949,T109
M0012950,T109
M0012951,T114
M0012951,T119
M0012951,T123
M0012952,T023
M0012953,T080
M0012954,T080
M0012955,T083
M0012956,T118
M0012956,T123
M0012957,T023
M0012958,T023
M0012959,T015
M0012960,T023
M0012961,T023
M0012962,T005
M0012963,T050
M0012963,T191
M0012964,T023
M0012965,T060
M0012966,T073
M0012967,T058
M0012968,T058
M0012969,T058
M0012970,T058
M0012971,T073
M0012971,T170
M0012972,T057
M0012973,T057
M0012974,T109
M0012975,T023
M0012976,T023
M0012977,T047
M0012978,T037
M0012979,T037
M0012980,T191
M0012981,T023
M0012982,T023
M0012983,T074
M0012984,T019
M0012986,T109
M0012986,T131
M0012987,T123
M0012987,T196
M0012988,T060
M0012988,T170
M0012989,T060
M0012990,T073
M0012991,T061
M0012992,T083
M0012993,T118
M0012994,T109
M0012994,T130
M0012995,T118
M0012995,T121
M0012996,T118
M0012996,T121
M0012997,T116
M0012997,T126
M0012998,T118
M0012999,T118
M0013000,T109
M0013000,T121
M0013001,T118
M0013001,T123
M0013002,T116
M0013002,T126
M0013003,T118
M0013004,T116
M0013004,T126
M0013005,T118
M0013006,T047
M0013007,T116
M0013007,T126
M0013008,T059
M0013009,T009
M0013009,T204
M0013010,T009
M0013010,T204
M0013011,T009
M0013011,T204
M0013012,T047
M0013013,T054
M0013014,T073
M0013014,T170
M0013015,T023
M0013016,T167
M0013017,T073
M0013017,T170
M0013018,T073
M0013018,T170
M0013019,T047
M0013020,T109
M0013020,T121
M0013021,T109
M0013021,T121
M0013022,T109
M0013022,T121
M0013023,T073
M0013023,T170
M0013024,T005
M0013025,T047
M0013026,T191
M0013027,T005
M0013028,T019
M0013029,T047
M0013030,T119
M0013030,T168
M0013031,T055
M0013032,T055
M0013033,T055
M0013034,T090
M0013035,T131
M0013036,T061
M0013037,T057
M0013038,T057
M0013039,T057
M0013040,T058
M0013042,T057
M0013043,T057
M0013044,T097
M0013045,T081
M0013046,T015
M0013047,T015
M0013048,T054
M0013049,T054
M0013050,T055
M0013051,T098
M0013052,T072
M0013053,T098
M0013054,T062
M0013055,T054
M0013056,T054
M0013057,T081
M0013058,T079
M0013059,T080
M0013060,T054
M0013061,T054
M0013062,T054
M0013063,T054
M0013064,T054
M0013065,T054
M0013066,T054
M0013067,T054
M0013068,T054
M0013069,T015
M0013070,T083
M0013071,T083
M0013072,T074
M0013073,T048
M0013074,T048
M0013075,T054
M0013076,T061
M0013077,T059
M0013079,T170
M0013080,T068
M0013081,T068
M0013082,T068
M0013082,T072
M0013083,T060
M0013083,T062
M0013084,T060
M0013085,T083
M0013086,T061
M0013087,T091
M0013088,T023
M0013089,T025
M0013090,T061
M0013091,T042
M0013092,T023
M0013093,T004
M0013095,T047
M0013096,T047
M0013098,T047
M0013099,T023
M0013100,T047
M0013101,T055
M0013102,T121
M0013103,T073
M0013104,T058
M0013105,T073
M0013106,T062
M0013107,T057
M0013108,T081
M0013109,T081
M0013110,T079
M0013112,T054
M0013113,T054
M0013114,T067
M0013115,T058
M0013116,T081
M0013117,T081
M0013118,T081
M0013119,T093
M0013120,T058
M0013120,T093
M0013121,T040
M0013122,T066
M0013123,T066
M0013124,T073
M0013125,T090
M0013126,T074
M0013127,T083
M0013128,T083
M0013129,T083
M0013130,T023
M0013131,T023
M0013132,T047
M0013133,T037
M0013134,T191
M0013135,T023
M0013136,T023
M0013137,T030
M0013138,T191
M0013139,T040
M0013140,T037
M0013141,T074
M0013142,T074
M0013143,T034
M0013143,T042
M0013144,T034
M0013145,T034
M0013145,T042
M0013146,T034
M0013146,T042
M0013147,T081
M0013148,T109
M0013148,T121
M0013149,T109
M0013149,T121
M0013150,T109
M0013150,T121
M0013151,T109
M0013151,T131
M0013152,T047
M0013153,T121
M0013153,T129
M0013154,T005
M0013155,T168
M0013156,T168
M0013157,T092
M0013158,T109
M0013158,T121
M0013159,T109
M0013159,T121
M0013160,T109
M0013160,T121
M0013161,T023
M0013162,T025
M0013163,T023
M0013164,T023
M0013165,T023
M0013166,T023
M0013167,T109
M0013167,T121
M0013168,T109
M0013168,T121
M0013168,T131
M0013169,T109
M0013169,T121
M0013169,T131
M0013170,T109
M0013170,T121
M0013172,T109
M0013172,T121
M0013173,T109
M0013173,T121
M0013174,T109
M0013174,T121
M0013174,T131
M0013175,T109
M0013175,T121
M0013175,T131
M0013176,T109
M0013176,T121
M0013177,T019
M0013177,T047
M0013178,T109
M0013178,T121
M0013179,T109
M0013179,T121
M0013180,T109
M0013180,T121
M0013181,T109
M0013181,T121
M0013182,T109
M0013182,T121
M0013183,T109
M0013183,T121
M0013184,T109
M0013184,T121
M0013185,T031
M0013186,T037
M0013186,T047
M0013187,T109
M0013187,T121
M0013188,T109
M0013188,T121
M0013189,T023
M0013190,T023
M0013191,T023
M0013192,T020
M0013192,T047
M0013193,T020
M0013193,T047
M0013194,T020
M0013194,T047
M0013195,T020
M0013195,T047
M0013196,T020
M0013196,T047
M0013197,T047
M0013198,T046
M0013199,T191
M0013200,T047
M0013201,T060
M0013201,T061
M0013202,T029
M0013203,T058
M0013203,T064
M0013204,T064
M0013205,T064
M0013205,T089
M0013206,T064
M0013206,T089
M0013207,T058
M0013208,T097
M0013209,T060
M0013210,T073
M0013210,T091
M0013211,T058
M0013212,T078
M0013213,T091
M0013214,T091
M0013215,T091
M0013216,T091
M0013217,T170
M0013218,T066
M0013218,T091
M0013219,T058
M0013220,T073
M0013221,T091
M0013222,T097
M0013223,T097
M0013224,T097
M0013225,T062
M0013225,T078
M0013226,T073
M0013226,T170
M0013227,T073
M0013227,T170
M0013228,T073
M0013228,T170
M0013229,T057
M0013230,T093
M0013231,T073
M0013231,T170
M0013232,T097
M0013233,T097
M0013234,T078
M0013235,T078
M0013236,T097
M0013237,T097
M0013238,T097
M0013239,T097
M0013240,T031
M0013241,T031
M0013242,T080
M0013242,T083
M0013243,T093
M0013244,T080
M0013245,T080
M0013246,T170
M0013247,T074
M0013249,T074
M0013249,T170
M0013251,T091
M0013252,T078
M0013253,T078
M0013254,T091
M0013255,T058
M0013255,T091
M0013256,T058
M0013256,T091
M0013258,T058
M0013259,T091
M0013261,T061
M0013263,T058
M0013264,T058
M0013265,T058
M0013266,T058
M0013267,T058
M0013268,T058
M0013269,T058
M0013270,T061
M0013271,T061
M0013272,T118
M0013272,T121
M0013273,T118
M0013273,T121
M0013274,T083
M0013275,T083
M0013276,T073
M0013276,T170
M0013277,T062
M0013277,T170
M0013278,T110
M0013278,T121
M0013278,T125
M0013279,T110
M0013279,T121
M0013279,T125
M0013280,T023
M0013281,T191
M0013282,T191
M0013283,T109
M0013283,T121
M0013284,T109
M0013284,T121
M0013285,T109
M0013285,T121
M0013286,T109
M0013286,T121
M0013287,T109
M0013287,T121
M0013288,T109
M0013288,T121
M0013289,T116
M0013289,T195
M0013290,T116
M0013290,T121
M0013290,T123
M0013291,T116
M0013291,T195
M0013292,T047
M0013293,T047
M0013294,T025
M0013295,T025
M0013296,T110
M0013296,T121
M0013296,T125
M0013297,T118
M0013298,T023
M0013299,T047
M0013300,T191
M0013301,T043
M0013302,T083
M0013303,T083
M0013304,T083
M0013305,T083
M0013306,T083
M0013307,T109
M0013307,T123
M0013308,T025
M0013309,T191
M0013310,T050
M0013310,T191
M0013311,T050
M0013311,T191
M0013312,T050
M0013312,T191
M0013313,T050
M0013313,T191
M0013314,T025
M0013315,T047
M0013316,T047
M0013317,T047
M0013318,T109
M0013318,T121
M0013319,T121
M0013319,T124
M0013319,T125
M0013320,T033
M0013320,T046
M0013321,T110
M0013321,T121
M0013321,T125
M0013322,T110
M0013322,T121
M0013322,T125
M0013323,T118
M0013324,T047
M0013325,T116
M0013325,T123
M0013325,T131
M0013326,T047
M0013328,T047
M0013329,T116
M0013329,T121
M0013330,T116
M0013330,T121
M0013331,T116
M0013331,T121
M0013332,T116
M0013332,T121
M0013333,T109
M0013333,T121
M0013334,T044
M0013335,T044
M0013336,T116
M0013336,T123
M0013338,T119
M0013339,T043
M0013339,T081
M0013340,T116
M0013340,T123
M0013341,T116
M0013341,T123
M0013342,T116
M0013342,T123
M0013343,T116
M0013343,T123
M0013344,T024
M0013345,T073
M0013346,T041
M0013347,T041
M0013348,T041
M0013349,T048
M0013350,T041
M0013351,T041
M0013352,T098
M0013354,T040
M0013355,T196
M0013356,T005
M0013357,T047
M0013358,T047
M0013359,T023
M0013360,T191
M0013361,T023
M0013362,T191
M0013363,T191
M0013364,T047
M0013364,T184
M0013365,T047
M0013366,T047
M0013367,T047
M0013368,T047
M0013369,T047
M0013370,T047
M0013371,T047
M0013372,T019
M0013372,T190
M0013373,T047
M0013374,T047
M0013375,T019
M0013376,T019
M0013377,T023
M0013378,T023
M0013379,T023
M0013380,T039
M0013380,T079
M0013381,T047
M0013382,T033
M0013382,T046
M0013384,T116
M0013384,T121
M0013384,T125
M0013386,T116
M0013386,T121
M0013386,T125
M0013387,T116
M0013387,T121
M0013387,T125
M0013388,T116
M0013388,T121
M0013388,T125
M0013389,T116
M0013389,T121
M0013389,T125
M0013390,T116
M0013390,T121
M0013390,T125
M0013391,T039
M0013394,T039
M0013395,T039
M0013396,T079
M0013398,T040
M0013401,T047
M0013402,T046
M0013403,T047
M0013404,T047
M0013405,T121
M0013406,T061
M0013407,T061
M0013408,T061
M0013409,T078
M0013410,T093
M0013411,T058
M0013412,T041
M0013413,T048
M0013414,T048
M0013415,T048
M0013416,T060
M0013416,T170
M0013417,T109
M0013417,T121
M0013418,T098
M0013419,T065
M0013420,T057
M0013421,T109
M0013421,T195
M0013422,T109
M0013422,T195
M0013423,T109
M0013423,T195
M0013424,T109
M0013424,T121
M0013425,T109
M0013425,T121
M0013426,T109
M0013426,T121
M0013427,T109
M0013427,T121
M0013428,T109
M0013428,T121
M0013429,T109
M0013429,T121
M0013430,T109
M0013430,T121
M0013431,T109
M0013431,T121
M0013432,T109
M0013432,T121
M0013433,T109
M0013433,T121
M0013434,T109
M0013434,T121
M0013435,T109
M0013435,T121
M0013436,T109
M0013436,T121
M0013438,T109
M0013438,T121
M0013439,T109
M0013439,T121
M0013440,T109
M0013440,T121
M0013441,T109
M0013441,T121
M0013442,T109
M0013442,T121
M0013443,T109
M0013444,T109
M0013445,T116
M0013445,T121
M0013446,T109
M0013446,T130
M0013447,T121
M0013447,T131
M0013447,T197
M0013448,T131
M0013448,T196
M0013449,T196
M0013450,T037
M0013450,T047
M0013452,T196
M0013453,T009
M0013453,T204
M0013454,T009
M0013454,T204
M0013455,T109
M0013455,T121
M0013455,T131
M0013456,T109
M0013456,T121
M0013456,T131
M0013457,T109
M0013457,T121
M0013457,T131
M0013458,T002
M0013458,T121
M0013458,T131
M0013459,T023
M0013460,T023
M0013461,T191
M0013462,T023
M0013463,T191
M0013464,T047
M0013465,T047
M0013466,T023
M0013467,T029
M0013468,T042
M0013468,T046
M0013469,T009
M0013469,T204
M0013470,T023
M0013471,T023
M0013472,T015
M0013474,T015
M0013475,T018
M0013476,T018
M0013477,T191
M0013478,T018
M0013479,T081
M0013480,T081
M0013481,T081
M0013482,T109
M0013482,T123
M0013483,T109
M0013483,T121
M0013484,T109
M0013484,T121
M0013485,T191
M0013486,T110
M0013486,T121
M0013487,T110
M0013487,T121
M0013488,T110
M0013488,T121
M0013490,T201
M0013491,T034
M0013491,T059
M0013492,T040
M0013493,T047
M0013495,T040
M0013496,T047
M0013497,T030
M0013498,T029
M0013499,T047
M0013499,T049
M0013500,T109
M0013500,T123
M0013502,T116
M0013502,T126
M0013505,T116
M0013505,T123
M0013506,T116
M0013506,T123
M0013507,T116
M0013507,T123
M0013508,T116
M0013508,T123
M0013509,T116
M0013509,T123
M0013510,T116
M0013510,T123
M0013511,T116
M0013511,T123
M0013512,T116
M0013512,T123
M0013513,T090
M0013514,T090
M0013515,T197
M0013516,T197
M0013517,T196
M0013518,T196
M0013519,T196
M0013520,T196
M0013521,T040
M0013521,T049
M0013522,T109
M0013522,T124
M0013523,T079
M0013524,T078
M0013524,T090
M0013525,T049
M0013526,T109
M0013526,T121
M0013527,T109
M0013527,T121
M0013528,T009
M0013528,T204
M0013529,T023
M0013530,T030
M0013531,T029
M0013532,T070
M0013533,T090
M0013534,T079
M0013535,T109
M0013535,T121
M0013536,T109
M0013536,T121
M0013537,T109
M0013538,T109
M0013539,T109
M0013539,T195
M0013540,T109
M0013540,T195
M0013541,T109
M0013541,T121
M0013542,T109
M0013542,T121
M0013543,T109
M0013543,T121
M0013544,T109
M0013544,T121
M0013545,T109
M0013545,T121
M0013546,T109
M0013546,T121
M0013547,T109
M0013547,T121
M0013548,T109
M0013548,T121
M0013549,T109
M0013549,T121
M0013550,T109
M0013550,T121
M0013551,T109
M0013551,T121
M0013551,T131
M0013552,T109
M0013552,T121
M0013552,T131
M0013553,T110
M0013553,T121
M0013554,T110
M0013554,T121
M0013556,T109
M0013557,T109
M0013558,T194
M0013559,T109
M0013559,T121
M0013560,T109
M0013560,T121
M0013561,T109
M0013561,T121
M0013562,T109
M0013563,T116
M0013563,T123
M0013564,T116
M0013564,T126
M0013565,T047
M0013566,T109
M0013566,T121
M0013567,T109
M0013567,T121
M0013568,T110
M0013568,T121
M0013569,T109
M0013569,T121
M0013570,T109
M0013570,T195
M0013571,T109
M0013571,T195
M0013573,T109
M0013573,T121
M0013574,T109
M0013574,T131
M0013575,T116
M0013575,T121
M0013575,T123
M0013576,T116
M0013576,T121
M0013576,T123
M0013577,T116
M0013577,T121
M0013577,T123
M0013578,T116
M0013578,T126
M0013579,T116
M0013579,T131
M0013580,T116
M0013580,T126
M0013581,T109
M0013581,T121
M0013582,T109
M0013582,T121
M0013583,T109
M0013583,T121
M0013584,T109
M0013584,T121
M0013585,T109
M0013585,T121
M0013586,T057
M0013587,T032
M0013587,T170
M0013588,T081
M0013589,T109
M0013589,T121
M0013591,T109
M0013591,T131
M0013592,T109
M0013592,T131
M0013593,T109
M0013594,T109
M0013594,T121
M0013595,T109
M0013595,T121
M0013596,T109
M0013596,T121
M0013597,T109
M0013597,T121
M0013598,T109
M0013598,T121
M0013599,T109
M0013599,T121
M0013600,T109
M0013600,T121
M0013600,T123
M0013601,T109
M0013601,T131
M0013602,T109
M0013602,T123
M0013603,T109
M0013604,T109
M0013605,T109
M0013605,T121
M0013606,T109
M0013606,T123
M0013607,T109
M0013607,T121
M0013608,T109
M0013608,T121
M0013609,T109
M0013609,T121
M0013610,T109
M0013610,T121
M0013611,T109
M0013612,T109
M0013612,T130
M0013613,T109
M0013613,T121
M0013613,T131
M0013614,T109
M0013615,T109
M0013615,T131
M0013616,T115
M0013616,T131
M0013617,T109
M0013618,T070
M0013619,T109
M0013619,T131
M0013620,T118
M0013620,T121
M0013620,T130
M0013621,T118
M0013621,T121
M0013621,T130
M0013622,T109
M0013622,T131
M0013623,T109
M0013623,T131
M0013624,T109
M0013624,T131
M0013625,T109
M0013625,T131
M0013626,T116
M0013626,T121
M0013626,T124
M0013627,T116
M0013627,T121
M0013628,T116
M0013628,T121
M0013628,T124
M0013629,T109
M0013629,T121
M0013629,T130
M0013630,T109
M0013630,T121
M0013631,T109
M0013631,T131
M0013632,T116
M0013632,T126
M0013633,T116
M0013633,T126
M0013636,T109
M0013636,T121
M0013637,T109
M0013637,T121
M0013638,T118
M0013639,T118
M0013640,T118
M0013641,T118
M0013642,T109
M0013642,T131
M0013643,T109
M0013644,T116
M0013645,T109
M0013646,T109
M0013646,T123
M0013647,T116
M0013647,T126
M0013648,T118
M0013649,T109
M0013649,T131
M0013650,T109
M0013650,T122
M0013651,T109
M0013651,T131
M0013652,T109
M0013652,T131
M0013653,T109
M0013653,T121
M0013654,T109
M0013654,T121
M0013655,T109
M0013655,T121
M0013656,T109
M0013656,T121
M0013657,T109
M0013657,T121
M0013658,T007
M0013659,T109
M0013659,T130
M0013660,T109
M0013660,T121
M0013661,T109
M0013661,T121
M0013662,T110
M0013662,T121
M0013663,T110
M0013663,T121
M0013664,T110
M0013664,T121
M0013665,T110
M0013665,T121
M0013666,T110
M0013666,T121
M0013667,T110
M0013667,T121
M0013668,T114
M0013668,T121
M0013669,T114
M0013669,T121
M0013670,T116
M0013670,T126
M0013671,T116
M0013672,T109
M0013673,T109
M0013673,T121
M0013674,T109
M0013674,T121
M0013675,T109
M0013675,T121
M0013677,T109
M0013677,T121
M0013678,T116
M0013678,T123
M0013679,T109
M0013679,T121
M0013680,T109
M0013680,T121
M0013681,T109
M0013681,T121
M0013682,T109
M0013682,T121
M0013683,T109
M0013683,T121
M0013684,T109
M0013684,T121
M0013685,T109
M0013685,T121
M0013686,T109
M0013686,T121
M0013687,T109
M0013687,T121
M0013688,T023
M0013689,T081
M0013690,T109
M0013690,T121
M0013690,T130
M0013691,T109
M0013691,T130
M0013692,T109
M0013692,T130
M0013693,T109
M0013693,T130
M0013694,T109
M0013694,T130
M0013695,T109
M0013695,T121
M0013696,T109
M0013696,T121
M0013698,T109
M0013698,T121
M0013699,T109
M0013699,T121
M0013700,T109
M0013700,T121
M0013701,T109
M0013701,T121
M0013702,T109
M0013702,T121
M0013703,T109
M0013703,T121
M0013704,T109
M0013704,T121
M0013705,T109
M0013705,T121
M0013706,T109
M0013706,T121
M0013707,T109
M0013707,T121
M0013708,T109
M0013708,T121
M0013709,T109
M0013709,T121
M0013710,T109
M0013710,T121
M0013711,T033
M0013711,T046
M0013712,T109
M0013712,T121
M0013712,T130
M0013713,T109
M0013713,T121
M0013713,T130
M0013714,T109
M0013714,T123
M0013715,T109
M0013715,T123
M0013716,T115
M0013716,T131
M0013717,T083
M0013718,T109
M0013718,T121
M0013719,T109
M0013719,T121
M0013720,T109
M0013720,T121
M0013721,T109
M0013721,T121
M0013722,T109
M0013722,T195
M0013724,T109
M0013724,T121
M0013725,T109
M0013725,T121
M0013727,T015
M0013728,T015
M0013729,T015
M0013730,T015
M0013731,T015
M0013732,T015
M0013733,T015
M0013734,T015
M0013735,T015
M0013736,T015
M0013737,T015
M0013738,T015
M0013739,T015
M0013740,T015
M0013741,T015
M0013742,T015
M0013743,T015
M0013744,T015
M0013745,T015
M0013746,T015
M0013747,T015
M0013748,T015
M0013749,T015
M0013750,T015
M0013751,T015
M0013752,T015
M0013753,T015
M0013754,T167
M0013755,T083
M0013756,T109
M0013756,T121
M0013757,T109
M0013757,T121
M0013758,T109
M0013758,T121
M0013760,T109
M0013760,T121
M0013762,T059
M0013763,T059
M0013764,T059
M0013765,T070
M0013766,T059
M0013767,T091
M0013768,T026
M0013769,T019
M0013769,T047
M0013770,T090
M0013771,T042
M0013772,T070
M0013773,T007
M0013774,T116
M0013774,T126
M0013775,T007
M0013776,T073
M0013777,T073
M0013778,T073
M0013779,T073
M0013780,T116
M0013780,T123
M0013781,T116
M0013781,T123
M0013782,T026
M0013783,T009
M0013783,T204
M0013784,T057
M0013785,T073
M0013786,T019
M0013787,T061
M0013788,T059
M0013789,T007
M0013790,T007
M0013791,T007
M0013792,T007
M0013793,T083
M0013794,T083
M0013795,T083
M0013796,T083
M0013797,T083
M0013798,T083
M0013799,T083
M0013800,T083
M0013801,T083
M0013802,T083
M0013803,T083
M0013804,T083
M0013805,T019
M0013806,T073
M0013807,T060
M0013808,T059
M0013809,T059
M0013810,T059
M0013811,T059
M0013812,T059
M0013813,T059
M0013814,T059
M0013815,T059
M0013816,T059
M0013817,T059
M0013818,T026
M0013819,T026
M0013820,T073
M0013821,T073
M0013822,T073
M0013823,T073
M0013824,T004
M0013825,T019
M0013826,T061
M0013827,T059
M0013828,T059
M0013829,T116
M0013829,T123
M0013832,T116
M0013832,T123
M0013833,T116
M0013833,T123
M0013834,T116
M0013834,T123
M0013835,T116
M0013835,T123
M0013836,T026
M0013837,T026
M0013838,T026
M0013839,T070
M0013840,T070
M0013841,T083
M0013842,T109
M0013842,T121
M0013843,T109
M0013843,T121
M0013844,T109
M0013844,T121
M0013845,T109
M0013845,T121
M0013846,T109
M0013846,T121
M0013847,T079
M0013848,T100
M0013849,T061
M0013850,T061
M0013851,T061
M0013852,T061
M0013853,T083
M0013854,T083
M0013855,T083
M0013856,T083
M0013857,T083
M0013858,T047
M0013859,T109
M0013859,T121
M0013860,T109
M0013860,T121
M0013861,T058
M0013862,T097
M0013863,T097
M0013864,T047
M0013865,T047
M0013866,T047
M0013867,T047
M0013868,T061
M0013869,T091
M0013870,T091
M0013871,T091
M0013872,T091
M0013873,T091
M0013874,T097
M0013875,T097
M0013876,T097
M0013877,T097
M0013878,T097
M0013879,T097
M0013880,T097
M0013881,T097
M0013882,T091
M0013883,T090
M0013884,T090
M0013885,T031
M0013885,T168
M0013886,T168
M0013887,T168
M0013888,T168
M0013889,T042
M0013890,T116
M0013890,T123
M0013891,T031
M0013892,T002
M0013893,T002
M0013894,T116
M0013894,T121
M0013894,T123
M0013895,T119
M0013895,T121
M0013896,T119
M0013896,T121
M0013897,T119
M0013897,T121
M0013898,T168
M0013898,T197
M0013899,T110
M0013899,T125
M0013901,T197
M0013902,T068
M0013903,T073
M0013904,T057
M0013905,T015
M0013906,T015
M0013907,T015
M0013908,T015
M0013909,T005
M0013910,T083
M0013912,T109
M0013912,T195
M0013913,T109
M0013913,T195
M0013914,T028
M0013915,T098
M0013916,T109
M0013916,T121
M0013917,T109
M0013917,T121
M0013918,T005
M0013919,T121
M0013920,T109
M0013920,T131
M0013921,T067
M0013923,T058
M0013924,T109
M0013924,T121
M0013925,T092
M0013926,T097
M0013927,T097
M0013928,T083
M0013929,T083
M0013931,T047
M0013932,T047
M0013933,T009
M0013933,T204
M0013934,T009
M0013934,T204
M0013935,T121
M0013935,T130
M0013935,T195
M0013936,T118
M0013936,T121
M0013937,T118
M0013937,T121
M0013938,T026
M0013939,T043
M0013940,T026
M0013941,T026
M0013942,T026
M0013943,T043
M0013944,T121
M0013945,T109
M0013945,T121
M0013946,T109
M0013946,T121
M0013947,T118
M0013947,T121
M0013948,T109
M0013948,T195
M0013949,T109
M0013949,T121
M0013950,T043
M0013951,T109
M0013951,T121
M0013952,T034
M0013953,T026
M0013954,T109
M0013954,T121
M0013955,T109
M0013955,T121
M0013956,T109
M0013956,T121
M0013957,T023
M0013958,T047
M0013959,T047
M0013960,T047
M0013961,T047
M0013963,T191
M0013964,T060
M0013964,T170
M0013965,T022
M0013966,T073
M0013966,T078
M0013966,T093
M0013967,T073
M0013967,T170
M0013968,T073
M0013968,T170
M0013969,T075
M0013969,T170
M0013970,T170
M0013971,T075
M0013971,T170
M0013972,T170
M0013973,T170
M0013974,T170
M0013975,T170
M0013976,T073
M0013977,T170
M0013978,T062
M0013978,T170
M0013979,T170
M0013980,T023
M0013981,T023
M0013982,T168
M0013983,T083
M0013984,T091
M0013985,T044
M0013985,T082
M0013986,T085
M0013986,T170
M0013987,T081
M0013988,T015
M0013989,T109
M0013989,T121
M0013990,T109
M0013990,T121
M0013991,T007
M0013992,T009
M0013992,T204
M0013994,T131
M0013995,T047
M0013996,T005
M0013997,T123
M0013997,T131
M0013998,T123
M0013998,T131
M0013999,T123
M0013999,T131
M0014000,T123
M0014000,T131
M0014001,T005
M0014002,T005
M0014003,T109
M0014003,T121
M0014004,T123
M0014004,T196
M0014005,T116
M0014005,T123
M0014006,T083
M0014007,T109
M0014007,T195
M0014008,T109
M0014008,T195
M0014010,T083
M0014011,T098
M0014012,T098
M0014013,T015
M0014014,T015
M0014015,T015
M0014016,T015
M0014017,T015
M0014018,T015
M0014019,T047
M0014020,T009
M0014020,T204
M0014021,T058
M0014022,T058
M0014023,T047
M0014024,T005
M0014025,T116
M0014025,T126
M0014026,T116
M0014026,T126
M0014027,T116
M0014027,T126
M0014028,T116
M0014028,T126
M0014029,T121
M0014030,T195
M0014031,T047
M0014032,T115
M0014032,T131
M0014033,T025
M0014034,T109
M0014034,T130
M0014035,T116
M0014035,T123
M0014036,T116
M0014036,T123
M0014037,T116
M0014037,T123
M0014038,T116
M0014038,T123
M0014039,T116
M0014039,T123
M0014041,T116
M0014041,T123
M0014042,T116
M0014042,T123
M0014043,T118
M0014044,T019
M0014045,T015
M0014046,T019
M0014047,T083
M0014048,T081
M0014049,T037
M0014050,T109
M0014050,T121
M0014051,T055
M0014051,T078
M0014052,T055
M0014052,T061
M0014053,T078
M0014054,T078
M0014055,T078
M0014056,T078
M0014057,T109
M0014057,T121
M0014058,T109
M0014058,T121
