`mesh_concept_uid`,`mesh_semantic_type_uid`
M0000280,T047
M0000281,T007
M0000282,T047
M0000283,T007
M0000284,T007
M0000285,T007
M0000286,T007
M0000287,T007
M0000289,T047
M0000290,T047
M0000291,T047
M0000292,T109
M0000292,T195
M0000293,T109
M0000293,T195
M0000294,T109
M0000294,T195
M0000296,T116
M0000296,T123
M0000297,T116
M0000297,T123
M0000298,T116
M0000298,T123
M0000299,T116
M0000299,T123
M0000300,T116
M0000300,T123
M0000301,T116
M0000301,T123
M0000302,T116
M0000302,T123
M0000303,T043
M0000304,T043
M0000305,T059
M0000306,T074
M0000307,T074
M0000308,T074
M0000311,T074
M0000312,T074
M0000313,T056
M0000313,T061
M0000314,T080
M0000315,T056
M0000316,T056
M0000317,T079
M0000318,T079
M0000319,T116
M0000319,T123
M0000320,T057
M0000322,T047
M0000323,T116
M0000323,T123
M0000324,T116
M0000324,T123
M0000325,T033
M0000325,T046
M0000326,T114
M0000326,T121
M0000327,T114
M0000327,T121
M0000328,T114
M0000328,T121
M0000329,T114
M0000329,T121
M0000330,T116
M0000330,T123
M0000331,T116
M0000331,T123
M0000332,T114
M0000332,T119
M0000333,T070
M0000334,T116
M0000334,T126
M0000335,T116
M0000335,T126
M0000336,T109
M0000337,T047
M0000338,T070
M0000339,T042
M0000340,T042
M0000341,T040
M0000342,T055
M0000343,T055
M0000344,T055
M0000345,T055
M0000346,T047
M0000347,T114
M0000347,T123
M0000348,T116
M0000348,T123
M0000349,T116
M0000349,T123
M0000350,T116
M0000350,T123
M0000351,T116
M0000351,T123
M0000352,T114
M0000353,T116
M0000353,T126
M0000354,T005
M0000355,T191
M0000356,T191
M0000357,T191
M0000358,T191
M0000359,T191
M0000360,T191
M0000361,T191
M0000362,T191
M0000363,T191
M0000364,T061
M0000365,T023
M0000366,T191
M0000367,T191
M0000368,T191
M0000369,T191
M0000370,T191
M0000371,T191
M0000372,T191
M0000373,T191
M0000374,T191
M0000375,T191
M0000376,T191
M0000377,T114
M0000377,T123
M0000378,T114
M0000378,T123
M0000379,T116
M0000379,T126
M0000380,T114
M0000380,T123
M0000381,T114
M0000381,T123
M0000382,T114
M0000382,T118
M0000382,T123
M0000383,T114
M0000383,T118
M0000383,T123
M0000384,T114
M0000384,T118
M0000385,T116
M0000385,T126
M0000386,T114
M0000387,T114
M0000388,T114
M0000388,T121
M0000389,T114
M0000389,T123
M0000390,T114
M0000390,T123
M0000391,T116
M0000391,T126
M0000393,T116
M0000393,T126
M0000394,T116
M0000394,T126
M0000395,T114
M0000395,T121
M0000395,T123
M0000396,T114
M0000396,T121
M0000396,T123
M0000398,T114
M0000398,T123
M0000400,T114
M0000400,T123
M0000401,T114
M0000401,T123
M0000402,T114
M0000402,T123
M0000403,T005
M0000404,T047
M0000405,T047
M0000406,T047
M0000407,T005
M0000408,T005
M0000409,T005
M0000411,T005
M0000412,T116
M0000412,T126
M0000413,T116
M0000413,T126
M0000414,T116
M0000414,T126
M0000415,T116
M0000415,T126
M0000416,T114
M0000416,T121
M0000417,T114
M0000417,T121
M0000418,T020
M0000418,T047
M0000419,T070
M0000420,T073
M0000420,T122
M0000421,T073
M0000422,T073
M0000423,T047
M0000424,T109
M0000425,T024
M0000426,T047
M0000427,T048
M0000428,T048
M0000429,T048
M0000430,T048
M0000431,T121
M0000431,T129
M0000432,T120
M0000433,T061
M0000434,T061
M0000435,T061
M0000436,T061
M0000437,T061
M0000438,T061
M0000439,T061
M0000440,T061
M0000441,T061
M0000442,T061
M0000443,T061
M0000444,T061
M0000445,T061
M0000446,T061
M0000447,T061
M0000448,T061
M0000449,T061
M0000450,T097
M0000451,T097
M0000452,T097
M0000453,T093
M0000454,T093
M0000455,T023
M0000457,T047
M0000458,T047
M0000459,T047
M0000460,T047
M0000461,T100
M0000462,T100
M0000463,T100
M0000464,T100
M0000465,T098
M0000466,T100
M0000467,T100
M0000468,T055
M0000469,T091
M0000470,T091
M0000471,T091
M0000472,T101
M0000473,T101
M0000474,T054
M0000475,T110
M0000475,T130
M0000476,T023
M0000478,T047
M0000479,T060
M0000480,T110
M0000480,T125
M0000481,T191
M0000482,T047
M0000483,T047
M0000484,T047
M0000485,T191
M0000486,T023
M0000487,T047
M0000488,T047
M0000489,T023
M0000490,T191
M0000491,T061
M0000492,T121
M0000493,T121
M0000494,T121
M0000495,T121
M0000496,T024
M0000497,T121
M0000498,T109
M0000498,T123
M0000499,T116
M0000499,T124
M0000499,T125
M0000500,T116
M0000500,T123
M0000501,T047
M0000502,T047
M0000503,T059
M0000504,T100
M0000505,T057
M0000508,T009
M0000508,T204
M0000509,T116
M0000509,T126
M0000509,T130
M0000510,T040
