`tree_number`,`mesh_descriptor_uid`,`mesh_tree_id`
J02.500.350.100.500,D000067048,167773
J02.500.375.200.500,D000067048,167774
J01.576.655.875.750.500,D000067071,167775
F03.950.750.375,D000067073,167776
F01.829.316.483.750,D000067074,167777
G07.203.300.850.450,D000067075,167778
J02.500.850.800,D000067075,167779
J01.219.687.274.500,D000067088,167780
E01.370.398,D000067108,167781
N02.421.726.233.166,D000067108,167782
A11.284.295.588,D000067128,167783
B04.352,D000067148,167784
A11.329.830.750,D000067170,167785
E07.341,D000067190,167786
C20.543.480.370.763,D000067208,167787
E01.789.800.760.500,D000067248,167788
H01.770.644.145.431.500,D000067248,167789
N04.761.559.590.200,D000067248,167790
N04.761.559.590.800.760.500,D000067248,167791
N05.715.360.575.575.300,D000067248,167792
N05.715.360.575.575.800.760.500,D000067248,167793
H02.403.680.600.875,D000067250,167794
N02.421.784.578,D000067250,167795
C23.550.291.937.500,D000067251,167796
E05.519,D000067268,167797
E05.598.750,D000067268,167798
E02.642.249.300.750,D000067269,167799
G07.203.650.240.300.750,D000067269,167800
E05.796.112,D000067289,167801
F04.669.112,D000067289,167802
F04.711.271,D000067290,167803
F01.145.317.269.625,D000067292,167804
C18.654.726.500.698,D000067329,167805
C23.888.144.699.500.250,D000067329,167806
E01.370.600.115.100.160.120.699.500.375,D000067329,167807
G07.100.100.160.120.699.500.375,D000067329,167808
G07.203.300.300.550.500,D000067348,167809
G07.203.300.775.500.500,D000067348,167810
J02.500.300.550.500,D000067348,167811
J02.500.775.500.500,D000067348,167812
E01.370.388.250.630.500,D000067368,167813
E04.210.240.250.680.500,D000067368,167814
E04.502.250.250.250.680.500,D000067368,167815
E04.502.250.630.500,D000067368,167816
E01.370.388.250.630.500.500,D000067369,167817
E04.210.240.250.680.500.500,D000067369,167818
E04.494.787,D000067369,167819
E04.502.250.250.250.680.500.500,D000067369,167820
E04.502.250.630.500.500,D000067369,167821
C26.212,D000067390,167822
E07.700.560,D000067393,167823
J01.637.708.560,D000067393,167824
D27.720.599,D000067397,167825
D27.720.777.300.500,D000067397,167826
C26.946,D000067398,167827
I01.880.735.950.500.951.500,D000067398,167828
N06.850.460.350.600.903.500,D000067398,167829
E01.370.600.550.162,D000067399,167830
D02.033.375.135,D000067401,167831
F03.625.374.250,D000067404,167832
I01.880.604.583.482,D000067408,167833
I01.198.240.240,D000067448,167834
I01.880.735.191.051,D000067448,167835
F04.754.137.087,D000067449,167836
F04.096.628.914,D000067450,167837
I01.880.735.950.500.951,D000067453,167838
N06.850.460.350.600.903,D000067453,167839
F03.625.374.125,D000067454,167840
F01.145.488.500.750,D000067455,167841
N04.452.758.635.500,D000067455,167842
N05.300.150.600.600.750,D000067455,167843
E05.200.500.380,D000067470,167844
E05.242.378,D000067470,167845
E05.393.085,D000067470,167846
F02.463.188.756,D000067489,167847
E02.319.754.750,D000067490,167848
E02.319.529.750,D000067491,167849
N02.421.450.500.750,D000067491,167850
N02.421.450.550,D000067491,167851
N04.761.700.594,D000067491,167852
N05.700.513,D000067491,167853
E02.095.301.250,D000067492,167854
E05.196.822.325,D000067493,167855
N04.761.700.635,D000067494,167856
N05.700.739,D000067494,167857
E05.318.740.600.800.715.500,D000067495,167858
N04.452.871.715.400,D000067495,167859
N05.715.360.750.625.700.690.400,D000067495,167860
N06.850.505.715.500,D000067495,167861
N06.850.520.830.600.800.715.500,D000067495,167862
K01.844.619.500,D000067496,167863
N04.590.254,D000067498,167864
L01.224.050.375.095,D000067508,167865
D12.776.631.069,D000067528,167866
D12.776.660.075,D000067528,167867
D23.035,D000067531,167868
D27.720.102.461,D000067548,167869
E05.196.867.826.150,D000067549,167870
F01.829.316.171,D000067551,167871
F02.463.785.373.520.500,D000067551,167872
I01.738.305,D000067551,167873
G05.365.590.594,D000067552,167874
D13.444.735.790.878.942.250,D000067556,167875
G02.111.570.080.689.687.093,D000067556,167876
G05.360.080.689.687.093,D000067556,167877
G16.012.750,D000067558,167878
F03.625.562.700,D000067559,167879
N04.761.700.615,D000067561,167880
N05.700.594,D000067561,167881
C23.550.291.883,D000067562,167882
B01.300.179.110,D000067563,167883
M01.526.390,D000067565,167884
J01.897.052,D000067568,167885
F02.784.629.529.663,D000067570,167886
N03.219.463.030.140,D000067571,167887
M01.526.693,D000067572,167888
G07.690.725.249,D000067573,167889
N04.452.859.564.137,D000067575,167890
N01.400.225,D000067576,167891
D12.644.276.374.465.850,D000067596,167892
D12.776.467.374.465.850,D000067596,167893
D23.529.374.465.850,D000067596,167894
D12.776.157.125.750.875,D000067616,167895
A11.284.180.900,D000067617,167896
A11.329.830.750.500,D000067617,167897
B01.050.500.131.617.289.310.250.750,D000067636,167898
F01.100.787,D000067656,167899
F01.100.893,D000067657,167900
D12.776.631.069.500,D000067696,167901
D12.776.660.075.500,D000067696,167902
N01.400.075,D000067697,167903
D12.776.157.725.452.125,D000067698,167904
D12.776.631.069.750,D000067698,167905
D12.776.660.075.750,D000067698,167906
D12.776.664.962.452.125,D000067698,167907
D08.811.037.250,D000067699,167908
D12.776.631.069.875,D000067699,167909
D12.776.660.075.875,D000067699,167910
N04.590.874.500,D000067716,167911
D12.776.631.069.901,D000067719,167912
D12.776.660.075.900,D000067719,167913
D12.776.631.069.950,D000067736,167914
D12.776.543.750.695.021,D000067756,167915
D12.776.543.750.750.360.100,D000067756,167916
D12.776.543.750.695.021.500,D000067757,167917
D12.776.543.750.750.360.100.500,D000067757,167918
D12.776.543.750.695.021.600,D000067758,167919
D12.776.543.750.750.360.100.600,D000067758,167920
D12.776.543.750.006,D000067759,167921
D12.776.157.725.813,D000067776,167922
D12.776.664.962.813,D000067776,167923
D12.776.157.725.813.500.500,D000067777,167924
D12.776.631.520.500,D000067777,167925
D12.776.664.962.813.500.500,D000067777,167926
D12.776.157.725.813.500.750,D000067778,167927
D12.776.631.520.750,D000067778,167928
D12.776.664.962.813.500.750,D000067778,167929
D12.776.157.725.813.500.875,D000067779,167930
D12.776.631.520.875,D000067779,167931
D12.776.664.962.813.500.875,D000067779,167932
D12.776.157.725.813.500.250,D000067780,167933
D12.776.664.962.813.500.250,D000067780,167934
G07.203.100.700.750,D000067796,167935
G07.203.300.350.525.760,D000067796,167936
J02.200.700.750,D000067796,167937
J02.500.350.525.760,D000067796,167938
D12.776.256.626.816,D000067816,167939
G07.203.300.350.525.520.500,D000067816,167940
G07.203.300.350.525.760.500,D000067816,167941
G07.203.300.428.626.500,D000067816,167942
J02.500.350.525.520.500,D000067816,167943
J02.500.350.525.760.500,D000067816,167944
J02.500.428.626.500,D000067816,167945
F03.080.600.250,D000067836,167946
D27.505.519.389.739,D000067856,167947
D27.505.954.248.692,D000067856,167948
F03.625.164.113,D000067877,167949
D12.776.157.725.813.250,D000067878,167950
D12.776.664.962.813.250,D000067878,167951
D12.776.157.725.813.250.500,D000067879,167952
D12.776.664.962.813.250.500,D000067879,167953
I01.261.262.500,D000067896,167954
J01.576.519,D000067896,167955
L01.224.097,D000067917,167956
G16.500.275.553,D000067936,167957
J01.728,D000067936,167958
N06.230.350,D000067936,167959
G07.203.650.660.750,D000067940,167960
J01.576.423.850.730.750.750,D000067940,167961
N06.850.601.750.750,D000067940,167962
D27.505.519.389.108,D000067956,167963
A11.251.210.172.875,D000067996,167964
A11.733.397.815,D000067996,167965
N03.706.110.070,D000068,167966
N05.700.200.100,D000068,167967
B03.353.625,D000068016,167968
V02.503,D000068036,167969
V02.700.375,D000068036,167970
Z01.058.290.120.745,D000068037,167971
F03.608,D000068079,167972
N01.400.900.500,D000068097,167973
N02.278.065.650,D000068098,167974
F03.950,D000068099,167975
N02.421.143.130.660,D000068101,167976
N02.421.143.620.275,D000068101,167977
D12.776.157.725.829.500,D000068103,167978
D12.776.664.962.829.500,D000068103,167979
N01.400.388,D000068104,167980
F03.084,D000068105,167981
F03.835.550,D000068116,167982
F02.784.629.529.223,D000068156,167983
L01.143.283.425.156,D000068156,167984
D03.383.606.170,D000068180,167985
D03.633.100.810.835.122,D000068180,167986
B01.650.940.800.575.100.842.500.625.500,D000068181,167987
D02.455.426.392.368.242.888.777.500,D000068196,167988
D02.455.849.291.850.777.500,D000068196,167989
D12.776.034.073,D000068196,167990
I01.409.418.500,D000068216,167991
N03.540.400.500,D000068216,167992
M01.526.919,D000068217,167993
