`tree_number`,`mesh_descriptor_uid`,`mesh_tree_id`
A11.329.830.750,D000067170,194
E07.341,D000067190,195
C20.543.480.370.763,D000067208,196
E01.789.800.760.500,D000067248,197
H01.770.644.145.431.500,D000067248,198
N04.761.559.590.200,D000067248,199
N04.761.559.590.800.760.500,D000067248,200
N05.715.360.575.575.300,D000067248,201
N05.715.360.575.575.800.760.500,D000067248,202
H02.403.680.600.875,D000067250,203
N02.421.784.578,D000067250,204
C23.550.291.937.500,D000067251,205
E05.519,D000067268,206
E05.598.750,D000067268,207
E02.642.249.300.750,D000067269,208
G07.203.650.240.300.750,D000067269,209
E05.796.112,D000067289,210
F04.669.112,D000067289,211
F04.711.271,D000067290,212
F01.145.317.269.625,D000067292,213
C18.654.726.500.698,D000067329,214
C23.888.144.699.500.250,D000067329,215
E01.370.600.115.100.160.120.699.500.375,D000067329,216
G07.100.100.160.120.699.500.375,D000067329,217
G07.203.300.300.550.500,D000067348,218
G07.203.300.775.500.500,D000067348,219
J02.500.300.550.500,D000067348,220
J02.500.775.500.500,D000067348,221
E01.370.388.250.630.500,D000067368,222
E04.210.240.250.680.500,D000067368,223
E04.502.250.250.250.680.500,D000067368,224
E04.502.250.630.500,D000067368,225
E01.370.388.250.630.500.500,D000067369,226
E04.210.240.250.680.500.500,D000067369,227
E04.494.787,D000067369,228
E04.502.250.250.250.680.500.500,D000067369,229
E04.502.250.630.500.500,D000067369,230
C26.212,D000067390,231
E07.700.560,D000067393,232
J01.637.708.560,D000067393,233
D27.720.599,D000067397,234
D27.720.777.300.500,D000067397,235
C26.946,D000067398,236
I01.880.735.950.500.951.500,D000067398,237
N06.850.460.350.600.903.500,D000067398,238
E01.370.600.550.162,D000067399,239
D02.033.375.135,D000067401,240
F03.625.374.250,D000067404,241
I01.880.604.583.482,D000067408,242
I01.198.240.240,D000067448,243
I01.880.735.191.051,D000067448,244
F04.754.137.087,D000067449,245
F04.096.628.914,D000067450,246
I01.880.735.950.500.951,D000067453,247
N06.850.460.350.600.903,D000067453,248
F03.625.374.125,D000067454,249
F01.100.150.750.500.600.750,D000067455,250
F01.145.488.887.500.600.750,D000067455,251
M01.643.550,D000067455,252
N04.452.758.635.500,D000067455,253
N05.300.150.800.500.600.750,D000067455,254
E05.200.500.380,D000067470,255
E05.242.378,D000067470,256
E05.393.085,D000067470,257
F02.463.188.756,D000067489,258
E02.319.306.500.750,D000067490,259
E02.319.529.750,D000067491,260
N02.421.450.500.750,D000067491,261
N02.421.450.550,D000067491,262
N04.761.700.594,D000067491,263
N05.700.513,D000067491,264
E02.095.301.250,D000067492,265
E05.196.822.325,D000067493,266
N04.761.700.635,D000067494,267
N05.700.739,D000067494,268
E05.318.740.600.800.715.500,D000067495,269
N04.452.871.715.400,D000067495,270
N05.715.360.750.625.700.690.400,D000067495,271
N06.850.505.715.500,D000067495,272
N06.850.520.830.600.800.715.500,D000067495,273
K01.844.619.500,D000067496,274
N04.590.254,D000067498,275
L01.224.050.375.095,D000067508,276
D12.776.631.069,D000067528,277
D12.776.660.075,D000067528,278
D23.035,D000067531,279
D27.720.102.461,D000067548,280
E05.196.867.826.150,D000067549,281
F01.829.316.171,D000067551,282
